Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast25,HomeTeamGoalScoredLast25,HomeTeamGoalConcededLast25,HomeTeamShotTargetLast25,HomeTeamRedLast25,AwayTeamPointLast25,AwayTeamGoalScoredLast25,AwayTeamGoalConcededLast25,AwayTeamShotTargetLast25,AwayTeamRedLast25,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,FTR_Prediction
2022-09-16,Aston Villa,Southampton,1,0,H,3,1,0,0,27,32,34,114,1,26,30,48,117,0,9,9,2,28,0,6,2,9,13,0,H
2022-09-16,Nottingham,Fulham,2,3,A,3,7,0,0,4,4,14,16,0,23,21,35,88,0,0,0,0,0,0,0,0,0,0,0,H
2022-09-17,Wolves,Man City,0,3,A,1,7,1,0,29,27,33,93,1,60,69,20,152,0,0,3,16,9,2,15,16,3,40,0,A
2022-09-17,Newcastle,Bournemouth,1,1,D,7,3,0,0,45,32,26,114,0,22,18,46,66,3,7,7,8,26,0,7,8,7,23,0,H
2022-09-17,Tottenham,Leicester,6,2,H,11,7,0,0,49,55,23,138,0,28,37,39,97,0,15,16,8,38,0,0,8,16,18,0,H
2022-09-18,Brentford,Arsenal,0,3,A,2,7,0,0,32,40,39,109,2,49,43,32,129,3,6,6,4,10,0,6,4,6,24,0,A
2022-09-18,Everton,West Ham,1,0,H,2,4,0,0,24,23,38,88,5,29,29,34,85,1,3,3,6,11,2,12,6,3,18,0,A
2022-10-01,Arsenal,Tottenham,3,1,H,9,3,0,1,52,45,30,134,2,52,61,23,146,0,9,8,9,25,2,6,9,8,23,1,H
2022-10-01,Bournemouth,Brentford,0,0,D,1,4,0,0,23,19,46,67,3,32,39,38,107,2,0,0,0,0,0,0,0,0,0,0,A
2022-10-01,Crystal Palace,Chelsea,1,2,A,3,3,0,0,31,30,28,108,0,43,42,29,127,2,0,1,12,3,0,15,12,1,28,0,A
2022-10-01,Fulham,Newcastle,1,4,A,1,10,1,0,25,22,35,88,0,45,32,26,120,0,4,2,5,12,1,10,5,2,31,0,A
2022-10-01,Liverpool,Brighton,3,3,D,7,6,0,0,60,59,16,168,1,37,33,29,107,1,8,8,5,25,0,5,5,8,22,0,H
2022-10-01,Southampton,Everton,1,2,A,6,5,0,0,23,26,48,112,0,27,24,37,89,5,6,6,7,29,0,9,7,6,13,0,H
2022-10-01,West Ham,Wolves,2,0,H,5,4,0,0,26,26,33,84,1,26,24,35,89,2,9,5,4,20,0,6,4,5,17,0,A
2022-10-02,Man City,Man United,6,3,H,10,8,0,0,60,71,20,156,0,39,35,38,122,0,12,12,4,36,0,3,4,12,12,0,H
2022-10-02,Leeds,Aston Villa,0,0,D,1,7,1,0,27,31,52,99,2,29,31,32,108,1,2,6,13,21,0,11,13,6,30,2,H
2022-10-03,Leicester,Nottingham,4,0,H,7,3,0,0,27,38,44,99,0,4,6,17,19,0,0,0,0,0,0,0,0,0,0,0,H
2022-10-08,Bournemouth,Leicester,2,1,H,4,5,0,0,23,19,46,66,3,30,42,42,105,0,6,7,7,18,0,6,7,7,23,1,H
2022-10-08,Chelsea,Wolves,3,0,H,7,2,0,0,45,43,29,125,2,23,22,36,91,2,5,4,4,19,0,5,4,4,10,0,H
2022-10-08,Man City,Southampton,4,0,H,8,0,0,0,60,75,22,164,0,23,26,47,108,0,7,7,4,22,0,4,4,7,16,0,H
2022-10-08,Newcastle,Brentford,5,1,H,6,3,0,0,45,35,27,127,0,33,39,35,110,2,8,10,6,40,0,2,6,10,10,2,H
2022-10-08,Brighton,Tottenham,0,1,A,4,3,0,0,37,35,31,109,1,52,60,23,146,1,9,3,4,15,0,6,4,3,18,0,A
2022-10-09,Crystal Palace,Leeds,2,1,H,5,4,0,0,31,29,27,105,0,25,28,50,95,3,2,0,4,19,0,11,4,0,17,0,H
2022-10-09,West Ham,Fulham,3,1,H,8,2,0,0,26,26,33,84,1,25,23,37,88,1,7,6,5,27,2,7,5,6,22,0,A
2022-10-09,Arsenal,Liverpool,3,2,H,7,3,0,0,54,48,31,138,2,60,60,17,169,1,0,0,15,12,0,15,15,0,31,0,A
2022-10-09,Everton,Man United,1,2,A,2,4,0,0,30,25,35,91,5,38,36,42,124,0,9,7,5,13,0,3,5,7,25,0,A
2022-10-10,Nottingham,Aston Villa,1,1,D,3,2,0,0,4,6,21,22,0,27,30,32,112,1,0,0,0,0,0,0,0,0,0,0,H
2022-10-14,Brentford,Brighton,2,0,H,3,7,0,0,33,39,37,105,2,36,34,31,111,1,0,0,6,14,0,12,6,0,14,0,A
2022-10-15,Leicester,Crystal Palace,0,0,D,5,1,0,0,29,41,42,108,0,33,30,27,109,0,11,10,7,21,0,2,7,10,16,0,H
2022-10-15,Fulham,Bournemouth,2,2,D,4,6,0,0,24,24,40,88,1,25,21,47,65,3,0,0,3,1,1,3,3,0,5,0,H
2022-10-15,Wolves,Nottingham,1,0,H,2,2,0,0,23,22,38,89,2,5,7,22,25,0,0,0,0,0,0,0,0,0,0,0,A
2022-10-15,Tottenham,Everton,2,0,H,7,0,0,0,55,61,21,142,1,27,23,37,83,5,9,12,2,17,0,3,2,12,11,2,H
2022-10-16,Aston Villa,Chelsea,0,2,A,7,4,0,0,27,28,30,110,0,47,44,27,126,2,3,4,13,17,0,12,13,4,23,1,A
2022-10-16,Leeds,Arsenal,0,1,A,4,4,0,0,25,29,51,95,3,54,50,33,143,1,0,6,16,13,2,15,16,6,47,0,A
2022-10-16,Man United,Newcastle,0,0,D,2,2,0,0,38,35,42,123,0,45,37,27,124,0,11,13,5,29,0,2,5,13,28,0,A
2022-10-16,Southampton,West Ham,1,1,D,8,4,0,0,22,25,50,105,0,29,27,31,87,1,8,6,7,23,0,5,7,6,23,2,A
2022-10-16,Liverpool,Man City,1,0,H,2,6,0,0,57,59,20,159,1,60,78,22,166,0,4,9,12,19,0,7,12,9,21,0,H
2022-10-18,Brighton,Nottingham,0,0,D,7,0,0,0,35,33,32,113,1,5,7,23,27,0,0,0,0,0,0,0,0,0,0,0,H
2022-10-18,Crystal Palace,Wolves,2,1,H,4,4,0,0,34,29,24,105,0,23,21,38,84,2,15,9,0,30,0,0,0,9,18,0,H
2022-10-19,Bournemouth,Southampton,0,1,A,3,3,0,0,23,22,49,65,3,20,23,49,103,0,6,5,4,20,0,6,4,5,24,0,H
2022-10-19,Brentford,Chelsea,0,0,D,5,5,0,0,36,40,35,107,2,50,46,26,129,2,6,8,4,26,0,6,4,8,18,0,A
2022-10-19,Liverpool,West Ham,1,0,H,7,3,0,0,57,57,19,154,1,30,28,31,90,1,9,9,7,25,0,6,7,9,18,0,H
2022-10-19,Newcastle,Everton,1,0,H,4,0,0,0,43,36,27,124,0,27,23,37,83,5,9,8,4,33,0,6,4,8,15,2,H
2022-10-19,Man United,Tottenham,2,0,H,10,2,0,0,36,34,42,122,0,55,60,19,144,1,15,15,5,27,0,0,5,15,9,0,A
2022-10-20,Fulham,Aston Villa,3,0,H,8,6,0,1,22,24,42,89,1,27,28,31,116,0,7,6,8,31,0,7,8,6,24,0,A
2022-10-20,Leicester,Leeds,2,0,H,1,2,0,0,30,40,40,106,0,24,26,49,91,3,8,5,5,22,0,5,5,5,25,0,H
2022-10-22,Nottingham,Liverpool,1,0,H,7,7,0,0,6,7,23,27,0,57,56,19,150,1,0,0,0,0,0,0,0,0,0,0,A
2022-10-22,Everton,Crystal Palace,3,0,H,6,2,0,0,27,23,37,81,5,36,30,24,104,0,7,9,11,31,0,7,11,9,28,0,H
2022-10-22,Man City,Brighton,3,1,H,4,2,0,0,59,77,22,167,0,33,31,32,114,1,12,16,5,42,1,3,5,16,18,0,H
2022-10-22,Chelsea,Man United,1,1,D,2,6,0,0,50,45,25,131,2,38,35,41,127,0,5,4,4,30,0,5,4,4,14,0,H
