Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast25,HomeTeamGoalScoredLast25,HomeTeamGoalConcededLast25,HomeTeamShotTargetLast25,HomeTeamRedLast25,HomeTeamRatingLast25,AwayTeamPointLast25,AwayTeamGoalScoredLast25,AwayTeamGoalConcededLast25,AwayTeamShotTargetLast25,AwayTeamRedLast25,AwayTeamRatingLast25,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,HomeTeamWin%H2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,AwayTeamWin%H2HLast5,FTR_Prediction
2022-08-31,Liverpool,Newcastle,2,1,H,6,2,0,0,57,59,18,164,2,23.700000000000006,45,32,29,115,0,19.300000000000008,13,9,3,45,0,80,1,3,9,12,0,0,H
2022-09-01,Leicester,Man United,0,1,A,2,2,0,0,31,38,36,96,0,11.900000000000004,36,34,39,122,0,12.9,11,12,7,31,0,60,2,7,12,23,0,0,H
2022-09-03,Everton,Liverpool,0,0,D,3,8,0,0,23,24,40,90,5,11.1,59,59,17,164,1,24.500000000000004,3,4,12,12,0,20,12,12,4,28,0,80,A
2022-09-03,Brentford,Leeds,5,2,H,8,6,0,0,32,37,38,105,2,15.800000000000002,30,32,48,100,2,13.700000000000005,2,6,8,16,2,0,8,8,6,24,0,50,H
2022-09-03,Chelsea,West Ham,2,1,H,3,3,0,0,43,43,29,128,2,17.200000000000003,32,32,33,88,1,9.400000000000004,9,7,6,30,0,60,6,6,7,16,3,40,H
2022-09-03,Newcastle,Crystal Palace,0,0,D,6,9,0,0,45,33,27,116,0,16.700000000000006,33,33,28,105,0,14.400000000000004,8,5,4,17,0,40,5,4,5,13,0,20,H
2022-09-03,Nottingham,Bournemouth,2,3,A,3,3,0,0,4,2,11,13,0,3.6,20,17,46,68,3,8.600000000000001,0,0,0,0,0,0,0,0,0,0,0,0,H
2022-09-03,Tottenham,Fulham,2,1,H,10,3,0,0,49,56,24,138,0,24.000000000000007,24,20,33,88,0,9.8,13,10,4,29,0,80,1,4,10,20,0,0,H
2022-09-03,Wolves,Southampton,1,0,H,2,1,0,0,29,27,33,97,1,6.3000000000000025,27,31,48,118,1,9.600000000000003,15,10,3,20,0,100,0,3,10,35,0,0,H
2022-09-03,Aston Villa,Man City,1,1,D,1,4,0,0,26,32,35,118,1,9.000000000000002,62,74,22,157,0,26.60000000000001,0,7,12,13,1,0,15,12,7,27,1,100,A
2022-09-04,Brighton,Leicester,5,2,H,11,4,0,0,37,31,29,101,1,18.9,28,37,37,97,0,11.000000000000004,8,7,6,22,0,40,5,6,7,20,0,20,H
2022-09-04,Man United,Arsenal,3,1,H,6,3,0,0,36,32,38,118,0,15.0,52,47,29,132,3,24.200000000000003,7,8,10,33,0,40,7,10,8,33,0,40,A
2022-09-16,Aston Villa,Southampton,1,0,H,3,1,0,0,27,32,34,114,1,8.700000000000005,26,30,48,117,0,8.400000000000004,9,9,2,28,0,60,6,2,9,13,0,40,H
2022-09-16,Nottingham,Fulham,2,3,A,3,7,0,0,4,4,14,16,0,3.3000000000000003,23,21,35,88,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,H
2022-09-17,Wolves,Man City,0,3,A,1,7,1,0,29,27,33,93,1,8.800000000000002,60,69,20,152,0,24.90000000000001,0,3,16,9,2,0,15,16,3,40,0,100,A
2022-09-17,Newcastle,Bournemouth,1,1,D,7,3,0,0,45,32,26,114,0,16.000000000000004,22,18,46,66,3,11.400000000000002,7,7,8,26,0,40,7,8,7,23,0,40,H
2022-09-17,Tottenham,Leicester,6,2,H,11,7,0,0,49,55,23,138,0,25.40000000000001,28,37,39,97,0,9.700000000000005,15,16,8,38,0,100,0,8,16,18,0,0,H
2022-09-18,Brentford,Arsenal,0,3,A,2,7,0,0,32,40,39,109,2,18.000000000000007,49,43,32,129,3,22.1,6,6,4,10,0,50,6,4,6,24,0,50,A
2022-09-18,Everton,West Ham,1,0,H,2,4,0,0,24,23,38,88,5,11.1,29,29,34,85,1,8.700000000000003,3,3,6,11,2,20,12,6,3,18,0,80,H
2022-10-01,Arsenal,Tottenham,3,1,H,9,3,0,1,52,45,30,134,2,22.9,52,61,23,146,0,26.00000000000001,9,8,9,25,2,60,6,9,8,23,1,40,A
2022-10-01,Bournemouth,Brentford,0,0,D,1,4,0,0,23,19,46,67,3,10.900000000000004,32,39,38,107,2,16.500000000000004,0,0,0,0,0,0,0,0,0,0,0,0,H
2022-10-01,Crystal Palace,Chelsea,1,2,A,3,3,0,0,31,30,28,108,0,14.2,43,42,29,127,2,18.200000000000006,0,1,12,3,0,0,15,12,1,28,0,100,A
2022-10-01,Fulham,Newcastle,1,4,A,1,10,1,0,25,22,35,88,0,10.900000000000002,45,32,26,120,0,14.700000000000006,4,2,5,12,1,20,10,5,2,31,0,60,A
2022-10-01,Liverpool,Brighton,3,3,D,7,6,0,0,60,59,16,168,1,22.300000000000008,37,33,29,107,1,20.799999999999997,8,8,5,25,0,40,5,5,8,22,0,20,H
2022-10-01,Southampton,Everton,1,2,A,6,5,0,0,23,26,48,112,0,7.800000000000002,27,24,37,89,5,12.800000000000004,6,6,7,29,0,40,9,7,6,13,0,60,H
2022-10-01,West Ham,Wolves,2,0,H,5,4,0,0,26,26,33,84,1,7.700000000000001,26,24,35,89,2,7.9,9,5,4,20,0,60,6,4,5,17,0,40,A
2022-10-02,Man City,Man United,6,3,H,10,8,0,0,60,71,20,156,0,25.90000000000001,39,35,38,122,0,16.200000000000003,12,12,4,36,0,80,3,4,12,12,0,20,H
2022-10-02,Leeds,Aston Villa,0,0,D,1,7,1,0,27,31,52,99,2,12.900000000000002,29,31,32,108,1,10.600000000000003,2,6,13,21,0,0,11,13,6,30,2,60,H
2022-10-03,Leicester,Nottingham,4,0,H,7,3,0,0,27,38,44,99,0,8.400000000000002,4,6,17,19,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,H
2022-10-08,Bournemouth,Leicester,2,1,H,4,5,0,0,23,19,46,66,3,11.400000000000004,30,42,42,105,0,10.200000000000005,6,7,7,18,0,20,6,7,7,23,1,20,H
2022-10-08,Chelsea,Wolves,3,0,H,7,2,0,0,45,43,29,125,2,20.0,23,22,36,91,2,7.400000000000002,5,4,4,19,0,0,5,4,4,10,0,0,H
2022-10-08,Man City,Southampton,4,0,H,8,0,0,0,60,75,22,164,0,26.40000000000001,23,26,47,108,0,6.700000000000002,7,7,4,22,0,20,4,4,7,16,0,0,H
2022-10-08,Newcastle,Brentford,5,1,H,6,3,0,0,45,35,27,127,0,16.400000000000006,33,39,35,110,2,15.800000000000002,8,10,6,40,0,50,2,6,10,10,2,0,H
2022-10-08,Brighton,Tottenham,0,1,A,4,3,0,0,37,35,31,109,1,20.3,52,60,23,146,1,23.500000000000004,9,3,4,15,0,60,6,4,3,18,0,40,A
2022-10-09,Crystal Palace,Leeds,2,1,H,5,4,0,0,31,29,27,105,0,13.000000000000002,25,28,50,95,3,13.200000000000005,2,0,4,19,0,0,11,4,0,17,0,60,H
2022-10-09,West Ham,Fulham,3,1,H,8,2,0,0,26,26,33,84,1,10.300000000000002,25,23,37,88,1,10.200000000000005,7,6,5,27,2,40,7,5,6,22,0,40,A
2022-10-09,Arsenal,Liverpool,3,2,H,7,3,0,0,54,48,31,138,2,23.4,60,60,17,169,1,20.800000000000004,0,0,15,12,0,0,15,15,0,31,0,100,A
2022-10-09,Everton,Man United,1,2,A,2,4,0,0,30,25,35,91,5,14.700000000000006,38,36,42,124,0,14.600000000000003,9,7,5,13,0,40,3,5,7,25,0,0,A
2022-10-10,Nottingham,Aston Villa,1,1,D,3,2,0,0,4,6,21,22,0,2.9000000000000004,27,30,32,112,1,10.900000000000004,0,0,0,0,0,0,0,0,0,0,0,0,H
2022-10-14,Brentford,Brighton,2,0,H,3,7,0,0,33,39,37,105,2,14.300000000000002,36,34,31,111,1,18.6,0,0,6,14,0,0,12,6,0,14,0,100,H
2022-10-15,Leicester,Crystal Palace,0,0,D,5,1,0,0,29,41,42,108,0,8.900000000000004,33,30,27,109,0,14.300000000000002,11,10,7,21,0,60,2,7,10,16,0,0,H
2022-10-15,Fulham,Bournemouth,2,2,D,4,6,0,0,24,24,40,88,1,8.600000000000005,25,21,47,65,3,13.1,0,0,3,1,1,0,3,3,0,5,0,100,H
2022-10-15,Wolves,Nottingham,1,0,H,2,2,0,0,23,22,38,89,2,6.200000000000003,5,7,22,25,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,A
