Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast40,HomeTeamGoalScoredLast40,HomeTeamGoalConcededLast40,HomeTeamShotTargetLast40,HomeTeamRedLast40,AwayTeamPointLast40,AwayTeamGoalScoredLast40,AwayTeamGoalConcededLast40,AwayTeamShotTargetLast40,AwayTeamRedLast40,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,FTR_Prediction
2022-09-03,Tottenham,Fulham,2,1,H,10,3,0,0,73,76,44,209,1,36,32,50,146,3,13,10,4,29,0,1,4,10,20,0,H
2022-09-03,Wolves,Southampton,1,0,H,2,1,0,0,54,40,44,139,2,45,46,70,179,2,15,10,3,20,0,0,3,10,35,0,H
2022-09-03,Aston Villa,Man City,1,1,D,1,4,0,0,44,51,59,170,2,100,108,30,269,1,0,7,12,13,1,15,12,7,27,1,A
2022-09-04,Brighton,Leicester,5,2,H,11,4,0,0,55,44,44,159,2,47,64,65,175,0,8,7,6,22,0,5,6,7,20,0,H
2022-09-04,Man United,Arsenal,3,1,H,6,3,0,0,60,55,62,193,2,84,74,43,222,3,7,8,10,33,0,7,10,8,33,0,A
2022-09-16,Aston Villa,Southampton,1,0,H,3,1,0,0,45,52,57,165,2,44,46,71,177,2,9,9,2,28,0,6,2,9,13,0,H
2022-09-16,Nottingham,Fulham,2,3,A,3,7,0,0,4,4,14,16,0,36,33,51,147,3,0,0,0,0,0,0,0,0,0,0,D
2022-09-17,Wolves,Man City,0,3,A,1,7,1,0,54,39,44,136,2,98,108,31,265,1,0,3,16,9,2,15,16,3,40,0,A
2022-09-17,Newcastle,Bournemouth,1,1,D,7,3,0,0,55,46,56,167,1,40,40,72,124,3,7,7,8,26,0,7,8,7,23,0,H
2022-09-17,Tottenham,Leicester,6,2,H,11,7,0,0,76,78,42,218,0,47,66,69,178,0,15,16,8,38,0,0,8,16,18,0,H
2022-09-18,Brentford,Arsenal,0,3,A,2,7,0,0,50,60,63,176,3,81,74,46,218,3,6,6,4,10,0,6,4,6,24,0,A
2022-09-18,Everton,West Ham,1,0,H,2,4,0,0,33,37,68,141,6,52,53,54,153,2,3,3,6,11,2,12,6,3,18,0,A
2022-10-01,Arsenal,Tottenham,3,1,H,9,3,0,1,81,76,46,222,3,79,84,41,227,0,9,8,9,25,2,6,9,8,23,1,H
2022-10-01,Bournemouth,Brentford,0,0,D,1,4,0,0,40,41,73,125,3,47,58,66,175,2,0,0,0,0,0,0,0,0,0,0,H
2022-10-01,Crystal Palace,Chelsea,1,2,A,3,3,0,0,49,52,50,167,1,74,75,41,215,2,0,1,12,3,0,15,12,1,28,0,A
2022-10-01,Fulham,Newcastle,1,4,A,1,10,1,0,38,35,52,148,3,55,46,56,167,1,4,2,5,12,1,10,5,2,31,0,H
2022-10-01,Liverpool,Brighton,3,3,D,7,6,0,0,91,100,31,262,2,55,48,46,168,2,8,8,5,25,0,5,5,8,22,0,H
2022-10-01,Southampton,Everton,1,2,A,6,5,0,0,43,46,72,176,2,36,38,65,142,6,6,6,7,29,0,9,7,6,13,0,H
2022-10-01,West Ham,Wolves,2,0,H,5,4,0,0,52,52,53,153,2,54,39,45,137,3,9,5,4,20,0,6,4,5,17,0,H
2022-10-02,Man City,Man United,6,3,H,10,8,0,0,100,111,31,271,1,60,54,62,192,2,12,12,4,36,0,3,4,12,12,0,H
2022-10-02,Leeds,Aston Villa,0,0,D,1,7,1,0,44,48,78,169,2,45,50,57,165,2,2,6,13,21,0,11,13,6,30,2,A
2022-10-03,Leicester,Nottingham,4,0,H,7,3,0,0,47,67,73,182,0,4,6,17,19,0,0,0,0,0,0,0,0,0,0,0,H
2022-10-08,Bournemouth,Leicester,2,1,H,4,5,0,0,38,38,73,121,3,49,69,71,184,0,6,7,7,18,0,6,7,7,23,1,A
2022-10-08,Chelsea,Wolves,3,0,H,7,2,0,0,74,74,42,208,2,51,38,47,138,3,5,4,4,19,0,5,4,4,10,0,H
2022-10-08,Man City,Southampton,4,0,H,8,0,0,0,100,116,34,277,1,43,47,73,176,2,7,7,4,22,0,4,4,7,16,0,H
2022-10-08,Newcastle,Brentford,5,1,H,6,3,0,0,57,49,56,171,1,47,55,63,175,2,8,10,6,40,0,2,6,10,10,2,A
2022-10-08,Brighton,Tottenham,0,1,A,4,3,0,0,53,49,48,169,2,79,84,41,226,1,9,3,4,15,0,6,4,3,18,0,A
2022-10-09,Crystal Palace,Leeds,2,1,H,5,4,0,0,49,53,49,168,1,44,47,77,161,3,2,0,4,19,0,11,4,0,17,0,H
2022-10-09,West Ham,Fulham,3,1,H,8,2,0,0,52,52,52,151,2,38,35,54,146,3,7,6,5,27,2,7,5,6,22,0,H
2022-10-09,Arsenal,Liverpool,3,2,H,7,3,0,0,81,76,46,224,3,89,100,34,259,2,0,0,15,12,0,15,15,0,31,0,H
