Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointWeightLast20,HomeTeamGoalScoredWeightLast20,HomeTeamGoalConcededWeightLast20,HomeTeamShotTargetWeightLast20,HomeTeamRedWeightLast20,AwayTeamPointWeightLast20,AwayTeamGoalScoredWeightLast20,AwayTeamGoalConcededWeightLast20,AwayTeamShotTargetWeightLast20,AwayTeamRedWeightLast20,FTR_Prediction
2023-01-21,Southampton,Aston Villa,0,1,A,5,5,0,0,15,18,38,71,0,25,24,30,81,1,0.0129920335872314,0.2593285374361154,0.9780008152182922,0.5188666114436498,0.0,0.0240210969764351,0.4176794657901196,0.6932609563466767,0.5211764459005543,4.096000000000002e-09,A
2023-01-21,West Ham,Everton,2,0,H,4,2,0,0,15,16,28,76,0,15,16,31,69,0,0.0010258661376524,0.2003981533525836,0.6912922872230551,0.485748117615558,0.0,0.0020060186217021,0.2099876888592358,1.057984761944311,0.607214290464135,0.0,H
2023-01-21,Crystal Palace,Newcastle,0,0,D,1,7,0,0,26,19,27,76,2,41,35,12,101,0,0.6128785027930628,0.2135076261095119,0.0909496649853803,0.7194216359618676,1.3107200000000011e-11,0.7299372390393631,0.4851891265313283,0.205251175251968,1.6197485171455823,0.0,A
2023-01-22,Leeds,Brentford,0,0,D,5,0,0,0,21,29,35,82,2,29,33,30,91,1,0.3465733125901386,0.3001780245182389,0.2512898362220164,1.2821283769568097,5.120065536000002e-07,0.0644229777545547,0.3156481436058072,0.4852177955154035,1.1859019601956202,0.2,A
2023-01-22,Man City,Wolves,3,0,H,7,1,0,0,45,53,22,115,1,17,13,30,68,3,0.7467743384589095,0.7184879750889761,0.4054543608133661,1.1542512036396244,1.638400000000001e-10,0.008422461607856,0.2403328248080603,0.6819290229456766,1.2543664750785355,2.5601966080000013e-06,H
2023-01-22,Arsenal,Man United,3,2,H,5,4,0,0,50,47,17,113,0,39,30,23,104,0,0.1499923183614873,0.2235180704252769,0.443284624181035,0.7897595495404013,0.0,0.0059921065164511,0.0436311501264493,0.3136286766203509,1.0405477654821498,0.0,H
2023-01-23,Fulham,Tottenham,0,1,A,5,3,0,0,31,32,29,84,1,33,39,31,115,1,0.2649985769717367,0.4263457507472573,0.4196855893865897,0.7980457834676488,2.5600000000000013e-06,0.6693522457632441,0.8917280836626889,0.2804173312322595,1.8452708011127656,2.5600000000000013e-06,A
2023-02-03,Chelsea,Fulham,0,0,D,3,4,0,0,29,22,21,79,3,30,30,28,86,1,0.6450397389850254,0.2836823286484042,0.1063168378554286,1.3503309509613537,0.0096000000002621,0.3249928848586834,0.1317287537362862,0.0984279469329586,0.9902289173382955,1.2800000000000005e-05,A
2023-02-04,Everton,Arsenal,1,0,H,4,3,0,0,15,15,28,69,0,53,50,17,116,0,0.0100300931085107,0.0499384442961789,0.2899238097215764,1.0360714523206958,0.0,0.749961591807468,1.117590352126416,0.216423120905196,1.9487977477020584,0.0,A
2023-02-04,Aston Villa,Leicester,2,4,A,4,5,0,0,28,23,27,84,1,18,28,35,80,0,0.120105484882207,0.0883973289506085,0.4663047817333834,0.6058822295028237,2.048000000000001e-08,0.2000078567178345,0.4897644097385477,0.5799178248418703,1.097006634484703,0.0,H
2023-02-04,Brentford,Southampton,3,0,H,4,6,0,0,30,32,28,86,0,15,17,35,74,0,0.322114888772784,0.578240718029036,0.4260889775770173,0.9295098009781012,0.0,0.0649601679361573,0.2966426871805772,0.8900040760914714,0.5943330572183012,0.0,D
2023-02-04,Brighton,Bournemouth,1,0,H,6,2,0,0,34,40,28,114,0,17,19,42,67,0,0.7338009834497351,0.6836556879205972,0.2401620103124956,1.6208950851364352,0.0,0.6005289984983145,0.4002060310282345,0.1985415486015904,0.6520757007127833,0.0,H
2023-02-04,Man United,Crystal Palace,2,1,H,5,3,1,0,39,32,25,104,0,24,18,27,74,2,0.0299605325822558,0.2181557506322674,0.5681433831017861,1.2027388274107902,0.0,0.0643925139653237,0.0675381305475596,0.4547483249269015,0.5971081798093478,6.553600000000006e-11,H
2023-02-04,Wolves,Liverpool,3,0,H,6,4,0,0,17,12,30,64,3,32,37,26,121,1,0.0421123080392802,0.2016641240403018,0.4096451147284139,1.2718323753926897,1.2800983040000004e-05,0.6491677292534276,0.6926168281477285,0.2912732219398161,1.8043462423036611,0.008,A
2023-02-04,Newcastle,West Ham,1,1,D,2,1,0,0,39,33,11,102,0,18,17,25,78,0,0.6496861951968256,0.4259456326566412,0.02625587625984,2.098742585727983,0.0,0.0051293306882936,0.0019907667629388,0.456461436115275,0.428740588077832,0.0,H
2023-02-05,Nottingham,Leeds,1,0,H,2,4,0,0,21,16,35,64,0,21,28,34,82,2,0.1280005450324089,0.0481541164581362,0.413361258844662,0.2821598523496071,0.0,0.7328665629507034,0.5008901225911944,0.2564491811100819,1.4106418847840996,2.560032768000001e-06,D
2023-02-05,Tottenham,Man City,1,0,H,3,5,1,0,33,36,30,110,1,45,53,20,117,1,0.3467612288162516,0.4586404183134542,0.4020866561612972,1.226354005563859,1.2800000000000005e-05,0.7338716922945786,0.5924398754449117,0.0272718040668307,0.7712560181981951,8.192000000000004e-10,A
2023-02-08,Man United,Leeds,2,2,D,7,2,0,0,42,33,24,104,1,18,26,34,80,2,0.1498026629113105,0.0907787531613582,0.8407169155089407,1.0136941370540034,1.0485760000000012e-14,0.6643328147535168,0.5044506129559716,0.2822459055504202,1.0532094239205387,1.2800163840000004e-05,H
