Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,Home_Win_Prob,Draw_Prob,Away_Win_Prob,FTR_Prediction
2022-09-04,Man United,Arsenal,3,1,H,6,3,0,0,28,25,33,97,0,42,38,26,109,1,12,13,17,53,0,15,17,13,51,0,0.2852547296038266,0.2393610343268291,0.4753842360693444,A
2022-09-16,Aston Villa,Southampton,1,0,H,3,1,0,0,22,26,27,96,0,18,20,40,84,0,10,17,20,57,0,19,20,17,48,0,0.4874977009450595,0.3000974487984567,0.2124048502564836,D
2022-09-16,Nottingham,Fulham,2,3,A,3,7,0,0,4,4,14,16,0,17,16,30,72,0,0,0,0,0,0,0,0,0,0,0,0.3189651640316358,0.3093938329629006,0.3716410030054636,D
2022-09-17,Wolves,Man City,0,3,A,1,7,1,0,17,18,29,72,1,47,62,18,129,0,7,10,24,26,2,22,24,10,69,1,0.0850032342456559,0.1800893873209784,0.7349073784333656,A
2022-09-17,Newcastle,Bournemouth,1,1,D,7,3,0,0,34,25,23,96,0,17,16,43,48,3,10,8,8,27,0,7,8,8,28,0,0.7618746568354773,0.144641792473798,0.0934835506907246,H
2022-09-17,Tottenham,Leicester,6,2,H,11,7,0,0,46,50,13,118,0,23,31,32,76,0,21,25,18,59,0,9,18,25,45,0,0.7694408118150722,0.1414330514414692,0.0891261367434586,H
2022-09-18,Brentford,Arsenal,0,3,A,2,7,0,0,32,37,25,93,2,39,37,28,107,1,6,6,4,10,0,6,4,6,24,0,0.4728394869814518,0.2312230577155674,0.2959374553029806,A
2022-09-18,Everton,West Ham,1,0,H,2,4,0,0,21,19,31,72,5,20,21,28,66,1,7,8,14,37,2,22,14,8,41,0,0.3626490525832261,0.375218625282722,0.2621323221340518,D
2022-10-01,Arsenal,Tottenham,3,1,H,9,3,0,1,39,37,26,110,1,46,52,15,118,0,16,16,16,48,2,13,16,16,51,2,0.2752202088531778,0.2222704240767958,0.5025093670700265,A
2022-10-01,Bournemouth,Brentford,0,0,D,1,4,0,0,18,16,42,49,2,31,37,28,93,2,0,0,0,0,0,0,0,0,0,0,0.2279161513923311,0.2090110722700028,0.563072776337666,A
2022-10-01,Crystal Palace,Chelsea,1,2,A,3,3,0,0,28,25,20,88,0,37,36,24,105,2,3,5,24,13,0,27,24,5,61,0,0.2940208683261664,0.2364171645189162,0.4695619671549174,A
2022-10-01,Fulham,Newcastle,1,4,A,1,10,1,0,17,18,32,72,0,32,24,24,92,0,14,11,10,52,1,14,10,11,72,0,0.2638774420138415,0.2976412045142547,0.4384813534719036,A
2022-10-01,Liverpool,Brighton,3,3,D,7,6,0,0,47,48,13,127,1,31,28,24,87,0,21,21,8,59,1,6,8,21,35,0,0.7019710141392592,0.185082360449468,0.1129466254112728,H
2022-10-01,Southampton,Everton,1,2,A,6,5,0,0,15,18,41,74,0,24,20,26,74,5,13,15,13,52,1,16,13,15,32,1,0.3481291951704578,0.2180587926818126,0.4338120121477294,A
2022-10-01,West Ham,Wolves,2,0,H,5,4,0,0,19,19,27,67,1,17,17,30,71,2,16,12,8,46,0,13,8,12,47,0,0.4356824703323725,0.287210470787367,0.2771070588802604,H
2022-10-02,Man City,Man United,6,3,H,10,8,0,0,47,61,18,127,0,30,27,33,95,0,19,20,11,61,0,10,11,20,31,0,0.7895106227483794,0.1301137544537047,0.0803756227979159,H
2022-10-02,Leeds,Aston Villa,0,0,D,1,7,1,0,23,23,39,76,2,22,25,27,95,0,10,12,16,45,0,16,16,12,56,2,0.2530861914570773,0.321783559694058,0.4251302488488647,A
2022-10-03,Leicester,Nottingham,4,0,H,7,3,0,0,20,32,38,79,0,4,6,17,19,0,0,0,0,0,0,0,0,0,0,0,0.5909778938654245,0.2156665390010634,0.193355567133512,H
2022-10-08,Bournemouth,Leicester,2,1,H,4,5,0,0,19,14,39,44,2,23,36,36,83,0,11,9,8,23,1,8,8,9,31,1,0.2728576638198283,0.2701592661575642,0.4569830700226073,D
2022-10-08,Chelsea,Wolves,3,0,H,7,2,0,0,37,37,25,105,2,17,17,31,74,2,14,16,11,52,0,11,11,16,27,0,0.6385308485005379,0.2212256108159185,0.1402435406835435,H
2022-10-08,Man City,Southampton,4,0,H,8,0,0,0,50,65,18,133,0,12,17,43,71,0,22,19,7,53,0,4,7,19,33,0,0.8934211378536668,0.0804087807265585,0.0261700814197745,H
2022-10-08,Newcastle,Brentford,5,1,H,6,3,0,0,32,26,24,98,0,32,36,26,95,2,8,10,6,40,0,2,6,10,10,2,0.4306663978504047,0.2151638028981881,0.3541697992514072,A
2022-10-08,Brighton,Tottenham,0,1,A,4,3,0,0,32,31,24,92,0,43,48,18,114,1,13,10,11,37,0,16,11,10,42,0,0.2573412641396605,0.2041070672513854,0.5385516686089542,A
2022-10-09,Crystal Palace,Leeds,2,1,H,5,4,0,0,28,26,21,91,0,24,23,33,75,3,5,4,5,25,0,11,5,4,20,0,0.5815868133171705,0.2026924799909589,0.2157207066918705,H
2022-10-09,West Ham,Fulham,3,1,H,8,2,0,0,21,20,26,69,1,16,19,36,69,1,15,17,12,66,2,12,12,17,55,1,0.4918990911862637,0.282367783483853,0.2257331253298831,H
2022-10-09,Arsenal,Liverpool,3,2,H,7,3,0,0,39,38,27,111,1,45,48,15,126,1,2,6,29,26,0,26,29,6,67,0,0.2153945056790833,0.208631297912666,0.5759741964082505,A
2022-10-09,Everton,Man United,1,2,A,2,4,0,0,27,22,26,77,4,27,28,39,96,0,10,10,17,26,0,16,17,10,61,0,0.4032506488886388,0.3551254600489546,0.2416238910624066,H
2022-10-10,Nottingham,Aston Villa,1,1,D,3,2,0,0,4,6,21,22,0,20,21,27,93,0,0,0,0,0,0,0,0,0,0,0,0.2091152120155944,0.2929912560255325,0.4978935319588731,D
2022-10-14,Brentford,Brighton,2,0,H,3,7,0,0,32,37,29,97,1,32,31,23,95,0,0,0,6,14,0,12,6,0,14,0,0.4098573155368306,0.2461972832677473,0.343945401195422,H
2022-10-15,Leicester,Crystal Palace,0,0,D,5,1,0,0,20,35,37,84,0,28,24,21,91,0,16,15,18,34,2,10,18,15,39,0,0.3629895846583305,0.2637670204084229,0.3732433949332465,H
