Combo,Accuracy
"('ShotTargetLast20', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.18771331058021
"('GoalScoredLast20', 'RedLast20', 'GoalConcededLast20')",65.18771331058021
"('ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.18771331058021
"('GoalScoredLast20', 'RedH2HLast10', 'RedLast20')",65.18771331058021
"('ShotTargetLast20', 'RedH2HLast10', 'GoalConcededH2HLast10')",65.18771331058021
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededLast20')",65.18771331058021
"('PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededH2HLast10')",65.52901023890784
"('PointH2HLast10', 'GoalScoredH2HLast10', 'RedH2HLast10')",65.52901023890784
"('ShotTargetLast20', 'ShotTargetH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededLast20')",65.52901023890784
"('PointLast20', 'RedH2HLast10', 'GoalConcededLast20')",65.52901023890784
"('ShotTargetH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededLast20')",65.52901023890784
"('PointLast20', 'ShotTargetH2HLast10', 'GoalConcededLast20')",65.52901023890784
"('GoalScoredLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.52901023890784
"('GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.52901023890784
"('GoalScoredLast20', 'PointH2HLast10', 'RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.52901023890784
"('PointH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededLast20')",65.52901023890784
"('GoalScoredH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.52901023890784
"('PointLast20', 'GoalScoredH2HLast10', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.52901023890784
"('PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededLast20')",65.52901023890784
"('PointH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededLast20')",65.52901023890784
"('ShotTargetLast20', 'PointH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededLast20')",65.52901023890784
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'RedH2HLast10')",65.52901023890784
"('ShotTargetLast20', 'RedH2HLast10', 'RedLast20')",65.52901023890784
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededH2HLast10')",65.52901023890784
"('ShotTargetLast20', 'PointH2HLast10', 'GoalConcededLast20')",65.52901023890784
"('ShotTargetH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededH2HLast10')",65.52901023890784
"('ShotTargetLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'RedH2HLast10', 'GoalConcededLast20')",65.52901023890784
"('RedH2HLast10', 'RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.52901023890784
"('ShotTargetLast20', 'GoalScoredLast20', 'GoalConcededH2HLast10')",65.8703071672355
"('ShotTargetLast20', 'GoalScoredLast20')",65.8703071672355
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededLast20')",65.8703071672355
"('PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedLast20', 'GoalConcededLast20')",65.8703071672355
"('RedH2HLast10', 'GoalConcededH2HLast10')",65.8703071672355
"('GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededH2HLast10')",65.8703071672355
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10')",65.8703071672355
"('PointLast20', 'PointH2HLast10')",65.8703071672355
"('ShotTargetLast20', 'PointH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededLast20')",65.8703071672355
"('PointH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.8703071672355
"('GoalScoredLast20', 'GoalScoredH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.8703071672355
"('GoalScoredH2HLast10', 'RedH2HLast10', 'GoalConcededH2HLast10')",65.8703071672355
"('GoalScoredLast20', 'ShotTargetH2HLast10', 'RedLast20')",65.8703071672355
"('GoalScoredLast20', 'ShotTargetH2HLast10', 'GoalConcededLast20')",65.8703071672355
"('GoalScoredLast20', 'PointLast20', 'ShotTargetH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.8703071672355
"('GoalScoredLast20', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.8703071672355
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.8703071672355
"('ShotTargetLast20', 'RedH2HLast10', 'GoalConcededLast20')",65.8703071672355
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.8703071672355
"('ShotTargetLast20', 'PointH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededH2HLast10')",65.8703071672355
"('ShotTargetLast20', 'PointH2HLast10', 'RedLast20')",65.8703071672355
"('ShotTargetLast20', 'ShotTargetH2HLast10', 'GoalConcededH2HLast10')",65.8703071672355
"('ShotTargetLast20', 'GoalScoredLast20', 'PointH2HLast10', 'GoalConcededH2HLast10')",65.8703071672355
"('PointH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededLast20')",65.8703071672355
"('ShotTargetLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededH2HLast10')",65.8703071672355
"('GoalScoredLast20', 'PointLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.8703071672355
"('ShotTargetLast20', 'GoalScoredLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.8703071672355
"('PointH2HLast10', 'ShotTargetH2HLast10', 'RedLast20', 'GoalConcededH2HLast10')",65.8703071672355
"('ShotTargetLast20', 'GoalScoredLast20', 'RedH2HLast10', 'RedLast20')",65.8703071672355
"('ShotTargetLast20', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededH2HLast10')",65.8703071672355
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10')",66.21160409556313
"('PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededH2HLast10')",66.21160409556313
"('GoalScoredLast20', 'RedH2HLast10', 'GoalConcededH2HLast10')",66.21160409556313
"('ShotTargetLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.21160409556313
"('GoalScoredLast20', 'PointLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.21160409556313
"('ShotTargetLast20', 'GoalScoredLast20', 'GoalScoredH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.21160409556313
"('ShotTargetLast20', 'ShotTargetH2HLast10', 'RedH2HLast10')",66.21160409556313
"('ShotTargetH2HLast10', 'RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.21160409556313
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'RedLast20')",66.21160409556313
"('ShotTargetLast20', 'ShotTargetH2HLast10', 'GoalConcededLast20')",66.21160409556313
