Date,HomeTeam,AwayTeam,HomeTeamShotTargetLast20,HomeTeamRatingLast20,AwayTeamShotTargetLast20,AwayTeamRatingLast20,HomeTeamWin%H2HLast10,AwayTeamWin%H2HLast10,FTR,FTR_Prediction
2022-12-26,Brentford,Tottenham,87,14.4,126,20.8,0.0,50.0,D,A
2022-12-26,Crystal Palace,Fulham,84,16.2,80,12.2,42.85714286,28.57142857,A,H
2022-12-26,Everton,Wolves,74,10.5,66,6.8,40.0,40.0,A,H
2022-12-26,Leicester,Newcastle,98,16.3,101,24.0,60.0,40.0,A,H
2022-12-26,Southampton,Brighton,73,7.3,111,16.1,20.0,10.0,A,A
2022-12-26,Aston Villa,Liverpool,86,14.4,124,19.4,10.0,90.0,A,A
2022-12-26,Arsenal,West Ham,119,27.9,73,10.5,80.0,0.0,H,H
2022-12-27,Chelsea,Bournemouth,89,15.3,66,11.6,62.5,37.5,H,H
2022-12-27,Man United,Nottingham,95,19.3,45,9.8,0.0,0.0,H,H
2022-12-28,Leeds,Man City,76,11.4,129,24.8,30.0,50.0,A,A
2022-12-30,West Ham,Brentford,75,9.2,90,13.8,0.0,100.0,A,A
2022-12-30,Liverpool,Leicester,129,20.6,91,14.7,70.0,30.0,H,H
2022-12-31,Wolves,Man United,69,9.0,102,21.4,20.0,50.0,A,A
2022-12-31,Bournemouth,Crystal Palace,69,10.8,77,15.0,25.0,25.0,A,H
2022-12-31,Fulham,Southampton,88,14.7,72,6.9,20.0,30.0,H,H
2022-12-31,Man City,Everton,130,25.2,76,9.4,90.0,0.0,D,H
2022-12-31,Newcastle,Leeds,99,25.1,75,10.1,40.0,30.0,D,H
2022-12-31,Brighton,Arsenal,114,17.7,117,28.4,44.44444444,33.33333333,A,A
2023-01-01,Tottenham,Aston Villa,127,19.9,85,12.9,90.0,10.0,A,H
2023-01-01,Nottingham,Chelsea,48,9.1,88,17.0,0.0,0.0,D,A
2023-01-02,Brentford,Liverpool,92,15.8,124,21.6,0.0,50.0,H,A
2023-01-03,Arsenal,Newcastle,117,29.0,102,24.1,70.0,30.0,D,H
2023-01-03,Everton,Brighton,72,9.4,114,15.9,60.0,30.0,A,A
2023-01-03,Leicester,Fulham,85,13.6,87,16.2,14.28571429,42.85714286,A,A
2023-01-03,Man United,Bournemouth,103,22.3,68,9.4,62.5,25.0,H,H
2023-01-04,Southampton,Nottingham,72,6.0,53,9.5,0.0,0.0,A,H
2023-01-04,Leeds,West Ham,74,10.4,77,8.7,50.0,40.0,D,H
2023-01-04,Aston Villa,Wolves,85,15.1,68,8.6,20.0,60.0,D,H
2023-01-04,Crystal Palace,Tottenham,78,16.2,126,17.6,20.0,70.0,A,A
2023-01-05,Chelsea,Man City,85,16.3,127,24.0,20.0,80.0,A,A
2023-01-12,Fulham,Chelsea,86,18.4,81,14.8,0.0,60.0,H,H
2023-01-13,Aston Villa,Leeds,85,14.9,78,10.2,40.0,20.0,H,H
2023-01-14,Man United,Man City,106,24.1,121,24.4,30.0,60.0,H,A
2023-01-14,Brighton,Liverpool,113,17.2,127,19.8,10.0,50.0,H,H
2023-01-14,Everton,Southampton,71,8.6,68,5.7,60.0,30.0,A,H
2023-01-14,Nottingham,Leicester,54,11.8,84,12.0,0.0,100.0,H,H
2023-01-14,Wolves,West Ham,68,8.5,74,8.4,40.0,60.0,H,H
2023-01-14,Brentford,Bournemouth,94,17.2,69,8.6,0.0,0.0,H,H
2023-01-15,Chelsea,Crystal Palace,87,13.0,75,15.1,100.0,0.0,H,H
2023-01-15,Newcastle,Fulham,100,23.2,84,19.6,50.0,40.0,H,H
2023-01-15,Tottenham,Arsenal,126,18.9,112,27.5,40.0,50.0,A,H
2023-01-18,Crystal Palace,Man United,76,13.3,105,24.7,40.0,40.0,D,A
2023-01-19,Man City,Tottenham,117,22.4,125,16.7,30.0,60.0,H,H
2023-01-21,Liverpool,Chelsea,123,17.8,85,14.6,20.0,20.0,D,H
2023-01-21,Bournemouth,Nottingham,65,7.2,59,14.1,100.0,0.0,D,H
2023-01-21,Leicester,Brighton,84,11.2,116,18.5,40.0,30.0,D,A
2023-01-21,Southampton,Aston Villa,71,7.8,81,16.8,50.0,40.0,A,A
2023-01-21,West Ham,Everton,76,7.9,69,7.6,60.0,30.0,H,H
2023-01-21,Crystal Palace,Newcastle,76,13.5,101,24.1,10.0,40.0,D,A
2023-01-22,Leeds,Brentford,82,9.4,91,18.9,40.0,20.0,D,A
2023-01-22,Man City,Wolves,115,22.8,68,11.2,70.0,20.0,H,H
2023-01-22,Arsenal,Man United,113,28.1,104,24.3,40.0,30.0,H,H
2023-01-23,Fulham,Tottenham,84,18.5,115,15.0,10.0,80.0,A,A
2023-02-03,Chelsea,Fulham,79,14.1,86,16.5,60.0,10.0,D,H
2023-02-04,Everton,Arsenal,69,6.8,116,28.8,40.0,50.0,H,A
2023-02-04,Aston Villa,Leicester,84,18.6,80,10.9,30.0,40.0,A,H
2023-02-04,Brentford,Southampton,86,18.3,74,7.5,50.0,50.0,H,H
2023-02-04,Brighton,Bournemouth,114,17.8,67,7.7,25.0,50.0,H,H
2023-02-04,Man United,Crystal Palace,104,21.9,74,12.8,30.0,40.0,H,H
2023-02-04,Wolves,Liverpool,64,10.0,121,17.1,0.0,100.0,H,A
2023-02-04,Newcastle,West Ham,102,23.1,78,9.8,50.0,30.0,D,H
2023-02-05,Nottingham,Leeds,64,14.1,82,9.1,0.0,0.0,H,H
2023-02-05,Tottenham,Man City,110,16.1,117,24.1,60.0,30.0,H,A
2023-02-08,Man United,Leeds,104,23.4,80,8.3,70.0,10.0,D,H
2023-02-11,West Ham,Chelsea,78,10.4,76,13.5,30.0,50.0,D,H
2023-02-11,Arsenal,Brentford,110,26.1,87,20.0,60.0,40.0,D,H
2023-02-11,Crystal Palace,Brighton,75,11.9,113,19.1,20.0,10.0,D,A
2023-02-11,Fulham,Nottingham,87,16.4,66,16.1,100.0,0.0,H,H
2023-02-11,Leicester,Tottenham,80,13.2,108,17.7,20.0,80.0,H,A
2023-02-11,Southampton,Wolves,78,6.3,64,12.5,0.0,80.0,A,H
2023-02-11,Bournemouth,Newcastle,66,6.6,94,22.0,28.57142857,42.85714286,D,A
2023-02-12,Leeds,Man United,78,8.0,107,22.0,0.0,70.0,A,A
2023-02-12,Man City,Aston Villa,120,21.3,86,17.3,90.0,0.0,H,H
2023-02-13,Liverpool,Everton,117,15.4,69,9.1,60.0,10.0,H,H
2023-02-15,Arsenal,Man City,115,24.5,122,22.6,0.0,100.0,A,A
2023-02-18,Aston Villa,Arsenal,84,15.8,109,22.1,20.0,80.0,A,A
2023-02-18,Brentford,Crystal Palace,82,19.3,73,11.4,0.0,0.0,D,A
2023-02-18,Brighton,Fulham,116,18.4,81,17.5,0.0,25.0,A,H
2023-02-18,Chelsea,Southampton,77,13.2,76,6.0,60.0,20.0,A,H
2023-02-18,Everton,Leeds,66,8.3,79,7.5,50.0,10.0,H,H
2023-02-18,Nottingham,Man City,61,15.0,118,23.1,0.0,100.0,D,A
2023-02-18,Wolves,Bournemouth,65,14.3,70,7.0,50.0,0.0,A,H
2023-02-18,Newcastle,Liverpool,100,21.2,119,16.9,0.0,70.0,A,A
2023-02-19,Man United,Leicester,108,23.2,85,15.1,30.0,30.0,H,H
2023-02-19,Tottenham,West Ham,108,15.8,75,10.0,40.0,30.0,H,H
2023-02-24,Fulham,Wolves,80,19.4,66,13.5,20.0,50.0,D,H
2023-02-25,Everton,Aston Villa,64,10.3,84,14.5,20.0,70.0,A,A
2023-02-25,Leeds,Southampton,73,6.4,78,7.8,20.0,40.0,H,H
2023-02-25,Leicester,Arsenal,87,14.2,108,22.7,30.0,70.0,A,A
2023-02-25,West Ham,Nottingham,73,9.5,57,14.7,0.0,100.0,H,H
2023-02-25,Bournemouth,Man City,70,9.2,119,22.4,0.0,100.0,A,A
2023-02-25,Crystal Palace,Liverpool,68,11.5,122,18.5,0.0,90.0,D,A
2023-02-26,Tottenham,Chelsea,107,17.2,79,11.8,20.0,60.0,H,H
2023-03-01,Arsenal,Everton,102,23.6,62,9.5,40.0,50.0,H,H
2023-03-01,Liverpool,Wolves,121,17.8,64,13.1,90.0,10.0,H,H
2023-03-04,Man City,Newcastle,115,22.7,98,19.3,80.0,0.0,H,H
2023-03-04,Arsenal,Bournemouth,98,24.2,70,8.5,70.0,10.0,H,H
2023-03-04,Aston Villa,Crystal Palace,86,16.3,66,11.0,40.0,40.0,H,H
2023-03-04,Brighton,West Ham,116,16.7,76,11.0,40.0,0.0,H,H
2023-03-04,Chelsea,Leeds,78,10.5,75,9.0,70.0,10.0,H,H
2023-03-04,Wolves,Tottenham,61,12.3,106,18.6,20.0,60.0,H,A
2023-03-04,Southampton,Leicester,75,7.6,82,12.8,20.0,50.0,H,A
2023-03-05,Nottingham,Everton,59,13.9,65,8.3,0.0,0.0,D,H
2023-03-05,Liverpool,Man United,115,19.2,110,23.7,60.0,20.0,H,A
2023-03-06,Brentford,Fulham,82,18.8,82,18.5,0.0,100.0,H,H
2023-03-11,Bournemouth,Liverpool,72,7.4,117,20.4,11.11111111,77.77777778,H,A
2023-03-11,Everton,Brentford,65,8.6,83,20.3,0.0,80.0,H,A
2023-03-11,Leeds,Brighton,72,8.2,123,18.2,0.0,42.85714286,D,A
2023-03-11,Leicester,Chelsea,80,11.9,77,12.1,10.0,40.0,A,H
2023-03-11,Tottenham,Nottingham,102,17.0,62,13.6,100.0,0.0,H,H
2023-03-11,Crystal Palace,Man City,62,10.3,114,24.2,20.0,40.0,A,A
2023-03-12,Fulham,Arsenal,84,17.1,104,25.1,10.0,60.0,A,A
2023-03-12,Man United,Southampton,112,21.9,73,9.4,30.0,0.0,D,H
2023-03-12,West Ham,Aston Villa,74,10.5,84,18.0,80.0,0.0,D,A
2023-03-12,Newcastle,Wolves,94,17.5,64,13.9,20.0,30.0,H,H
2023-03-15,Brighton,Crystal Palace,121,17.6,53,8.7,10.0,20.0,H,H
2023-03-15,Southampton,Brentford,76,10.2,84,18.7,40.0,60.0,A,H
2023-03-17,Nottingham,Newcastle,64,12.8,100,18.7,0.0,100.0,A,A
2023-03-18,Aston Villa,Bournemouth,87,17.5,71,9.7,20.0,80.0,H,H
2023-03-18,Brentford,Leicester,81,20.0,83,10.5,0.0,80.0,D,H
2023-03-18,Southampton,Tottenham,76,9.0,98,18.2,30.0,50.0,D,H
2023-03-18,Wolves,Leeds,67,13.2,70,8.5,33.33333333,44.44444444,A,H
2023-03-18,Chelsea,Everton,80,14.1,69,10.5,20.0,40.0,D,H
2023-03-19,Arsenal,Crystal Palace,104,25.7,53,8.1,20.0,20.0,H,H
2023-04-01,Man City,Liverpool,111,24.5,115,18.8,10.0,30.0,H,H
2023-04-01,Arsenal,Leeds,100,26.3,73,10.8,80.0,10.0,H,H
2023-04-01,Bournemouth,Fulham,71,8.7,79,15.4,50.0,0.0,H,A
2023-04-01,Brighton,Brentford,122,19.1,81,19.5,80.0,20.0,D,H
2023-04-01,Crystal Palace,Leicester,52,6.6,77,10.6,20.0,40.0,H,A
2023-04-01,Nottingham,Wolves,64,11.4,71,11.8,0.0,100.0,D,A
2023-04-01,Chelsea,Aston Villa,84,13.4,93,18.9,80.0,10.0,A,A
2023-04-02,West Ham,Southampton,77,10.0,77,9.7,30.0,30.0,H,H
2023-04-02,Newcastle,Man United,98,20.0,110,20.4,10.0,60.0,H,A
2023-04-03,Everton,Tottenham,67,10.8,98,17.9,10.0,50.0,D,A
2023-04-04,Bournemouth,Brighton,77,11.0,126,18.7,40.0,40.0,A,A
2023-04-04,Leeds,Nottingham,74,10.0,68,11.6,0.0,100.0,H,H
2023-04-04,Leicester,Aston Villa,72,9.2,88,20.4,40.0,30.0,A,A
2023-04-04,Chelsea,Liverpool,85,12.4,109,17.0,20.0,20.0,D,H
2023-04-05,Man United,Brentford,103,18.9,82,18.8,80.0,20.0,H,H
2023-04-05,West Ham,Newcastle,75,12.6,97,20.9,30.0,40.0,A,A
2023-04-08,Man United,Everton,102,19.6,71,10.7,40.0,20.0,H,H
2023-04-08,Aston Villa,Nottingham,91,21.8,66,10.2,0.0,0.0,H,H
2023-04-08,Brentford,Newcastle,80,17.2,95,22.0,0.0,60.0,A,H
2023-04-08,Fulham,West Ham,80,14.0,72,11.0,30.0,50.0,A,H
2023-04-08,Leicester,Bournemouth,71,8.2,76,10.1,11.11111111,33.33333333,A,A
2023-04-08,Tottenham,Brighton,97,17.1,126,19.9,60.0,40.0,H,A
2023-04-08,Wolves,Chelsea,70,12.1,84,11.9,20.0,30.0,H,H
2023-04-08,Southampton,Man City,80,8.5,109,25.8,0.0,60.0,A,A
2023-04-09,Leeds,Crystal Palace,76,12.1,60,9.0,42.85714286,28.57142857,A,H
2023-04-09,Liverpool,Arsenal,110,16.5,99,26.9,70.0,10.0,D,H
2023-04-15,Aston Villa,Newcastle,87,23.1,93,22.7,40.0,30.0,H,H
2023-04-15,Chelsea,Brighton,80,11.2,126,18.7,30.0,10.0,A,A
2023-04-15,Everton,Fulham,72,10.2,81,12.6,70.0,10.0,A,A
2023-04-15,Southampton,Crystal Palace,73,8.1,64,10.8,30.0,40.0,A,H
2023-04-15,Tottenham,Bournemouth,93,18.7,77,12.2,87.5,0.0,A,H
2023-04-15,Wolves,Brentford,72,13.7,83,15.5,40.0,40.0,H,H
2023-04-15,Man City,Leicester,109,26.1,70,7.1,90.0,10.0,H,H
2023-04-16,West Ham,Arsenal,69,13.3,100,25.5,0.0,90.0,D,A
2023-04-16,Nottingham,Man United,66,9.3,111,21.1,0.0,100.0,A,A
2023-04-17,Leeds,Liverpool,81,11.3,114,15.8,10.0,70.0,A,A
2023-04-21,Arsenal,Southampton,102,24.1,74,6.9,40.0,20.0,D,H
2023-04-22,Fulham,Leeds,84,14.2,79,10.1,44.44444444,44.44444444,H,H
2023-04-22,Brentford,Aston Villa,81,13.9,87,24.3,40.0,20.0,D,A
2023-04-22,Crystal Palace,Everton,64,13.0,79,9.0,20.0,60.0,D,H
2023-04-22,Leicester,Wolves,73,6.1,77,15.9,50.0,20.0,H,A
2023-04-22,Liverpool,Nottingham,114,17.2,66,8.0,0.0,100.0,H,H
2023-04-23,Bournemouth,West Ham,80,14.6,68,13.0,30.0,40.0,A,H
2023-04-23,Newcastle,Tottenham,93,20.8,99,17.1,20.0,60.0,H,H
2023-04-25,Wolves,Crystal Palace,75,14.5,63,12.8,22.22222222,66.66666667,H,H
2023-04-25,Aston Villa,Fulham,78,23.3,81,15.8,30.0,40.0,H,H
2023-04-25,Leeds,Leicester,75,9.3,77,8.1,30.0,50.0,D,H
2023-04-26,Nottingham,Brighton,64,7.1,129,19.7,0.0,0.0,H,A
2023-04-26,Chelsea,Brentford,80,9.9,83,13.5,40.0,40.0,A,A
2023-04-26,West Ham,Liverpool,75,15.3,113,18.7,20.0,80.0,A,A
2023-04-26,Man City,Arsenal,107,27.4,98,22.9,100.0,0.0,H,H
2023-04-27,Everton,Newcastle,78,9.5,97,21.5,30.0,50.0,A,A
2023-04-27,Southampton,Bournemouth,77,7.6,82,13.5,44.44444444,22.22222222,A,A
