Date,HomeTeam,AwayTeam,FTR,HomeTeamShotTargetLast20,HomeTeamRatingLast20,AwayTeamShotTargetLast20,AwayTeamRatingLast20,HomeTeamWin%H2HLast10,AwayTeamWin%H2HLast10
2015-11-07,Man United,West Brom,H,84,18.8,72,14.9,50,20
2015-11-07,Norwich,Swansea,H,84,6.8,93,13.5,50,16.66666667
2015-11-07,Stoke,Chelsea,H,79,15,86,13.3,10,70
2015-11-07,Sunderland,Southampton,A,76,8.3,96,16.3,20,40
2015-11-07,West Ham,Everton,D,78,17.2,90,15.7,0,70
2015-11-08,Arsenal,Tottenham,D,135,25,104,20.6,40,40
2015-11-08,Aston Villa,Man City,D,68,5.1,142,25.3,20,80
2015-11-08,Liverpool,Crystal Palace,A,95,15,86,15.4,33.33333333,50
2015-11-21,Chelsea,Norwich,H,80,11.7,86,9.4,75,0
2015-11-21,Everton,Aston Villa,H,91,15.4,65,5.6,40,20
2015-11-21,Man City,Liverpool,A,129,24.1,98,14,40,30
2015-11-21,Newcastle,Leicester,A,78,10.1,95,23.6,50,12.5
2015-11-21,Southampton,Stoke,A,97,17.9,77,16.7,16.66666667,16.66666667
2015-11-21,Swansea,Bournemouth,D,87,11.4,43,5.3,0,0
2015-11-21,Watford,Man United,A,70,14.8,83,20.1,0,100
2015-11-21,West Brom,Arsenal,H,72,13.7,136,23.5,10,70
2015-11-22,Tottenham,West Ham,H,104,20,79,16.7,50,30
2015-11-23,Crystal Palace,Sunderland,A,87,16.9,76,7.4,50,25
2015-11-28,Aston Villa,Watford,A,66,4.7,69,13.3,50,0
2015-11-28,Bournemouth,Everton,D,47,6,99,16.5,0,0
2015-11-28,Crystal Palace,Newcastle,H,91,15.3,78,9.4,0,50
2015-11-28,Leicester,Man United,D,98,24.5,82,21.3,12.5,87.5
2015-11-28,Man City,Southampton,H,128,21.7,96,16.6,60,20
2015-11-28,Sunderland,Stoke,H,76,9.5,79,18.5,50,20
2015-11-29,Liverpool,Swansea,H,105,15.5,87,11.6,50,12.5
2015-11-29,Norwich,Arsenal,D,80,8.5,129,21.7,12.5,75
2015-11-29,Tottenham,Chelsea,D,114,21.2,86,13.2,10,40
2015-11-29,West Ham,West Brom,D,76,15.4,67,15.4,20,20
2015-12-05,Arsenal,Sunderland,H,127,20.4,78,11.6,60,0
2015-12-05,Chelsea,Bournemouth,A,85,12.9,57,6.5,0,0
2015-12-05,Man United,West Ham,D,77,20.6,79,15.1,80,0
2015-12-05,Southampton,Aston Villa,D,100,15.2,65,4.1,30,40
2015-12-05,Stoke,Man City,H,80,16.9,134,22.7,10,50
2015-12-05,Swansea,Leicester,A,84,9.8,95,23.2,50,50
2015-12-05,Watford,Norwich,H,72,15.4,78,8.8,0,0
2015-12-05,West Brom,Tottenham,D,65,15.2,115,20.8,10,40
