Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,HomeTeamRatingLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,AwayTeamRatingLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,HomeTeamWin%H2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,AwayTeamWin%H2HLast10
2015-09-14,West Ham,Newcastle,2,0,H,3,4,0,0,17,18,28,72,4,10.6,14,16,33,64,6,6.500000000000003,12,9,15,39,0,30.0,15,15,9,64,1,40.0
2015-09-19,Aston Villa,West Brom,0,1,A,3,6,0,0,20,26,35,79,2,11.100000000000001,27,21,25,68,2,13.7,13,15,15,52,2,30.0,13,15,15,50,1,30.0
2015-09-19,Bournemouth,Sunderland,2,0,H,5,2,0,1,4,6,9,15,0,3.7,17,16,31,69,1,9.200000000000001,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-09-19,Chelsea,Arsenal,2,0,H,7,2,0,2,38,28,24,93,4,17.200000000000006,43,32,14,136,0,22.90000000000001,18,18,10,61,0,50.0,9,10,18,50,1,20.0
2015-09-19,Man City,West Ham,1,2,A,8,3,0,0,46,48,15,135,0,28.60000000000001,20,20,26,73,4,12.9,23,19,8,79,0,70.0,5,8,19,39,0,10.0
2015-09-19,Newcastle,Watford,1,2,A,5,4,0,0,11,13,35,63,6,5.600000000000002,19,18,31,79,1,11.7,4,3,2,7,0,50.0,1,2,3,10,0,0.0
2015-09-19,Stoke,Leicester,2,2,D,4,5,0,0,24,25,24,81,3,11.799999999999999,35,36,25,87,0,22.9,3,1,1,7,0,50.0,3,1,1,4,0,50.0
2015-09-19,Swansea,Everton,0,0,D,3,2,0,1,31,26,24,101,0,17.300000000000008,29,25,21,88,1,17.000000000000004,3,4,12,33,2,0.0,18,12,4,64,0,62.5
2015-09-20,Liverpool,Norwich,1,1,D,7,2,0,0,31,22,27,95,3,13.9,16,18,36,87,1,9.5,22,27,7,76,0,87.5,1,7,27,38,0,0.0
2015-09-20,Southampton,Man United,2,3,A,8,3,0,0,24,22,21,92,1,12.700000000000003,37,29,18,94,2,19.300000000000008,8,11,17,55,0,20.0,20,17,11,63,0,60.0
2015-09-20,Tottenham,Crystal Palace,1,0,H,6,4,0,0,30,27,27,95,1,16.0,34,30,23,81,1,18.40000000000001,8,5,6,34,0,33.33333333333333,8,6,5,30,0,33.33333333333333
2015-09-26,Leicester,Arsenal,2,5,A,7,12,0,0,36,38,26,87,0,22.1,43,31,14,135,2,20.40000000000001,3,6,19,13,2,0.0,18,19,6,66,2,62.5
2015-09-26,Liverpool,Aston Villa,3,2,H,12,4,0,0,31,23,28,96,3,13.500000000000004,20,25,34,81,2,10.3,17,14,9,70,0,50.0,11,9,14,45,0,30.0
2015-09-26,Man United,Sunderland,3,0,H,7,4,0,0,39,31,19,91,1,20.60000000000001,16,15,32,70,2,8.4,23,13,4,65,0,70.0,5,4,13,41,1,10.0
2015-09-26,Newcastle,Chelsea,2,2,D,5,4,0,0,10,13,36,65,6,5.100000000000001,38,28,23,95,4,18.40000000000001,14,12,16,67,1,40.0,14,16,12,74,0,40.0
2015-09-26,Southampton,Swansea,3,1,H,7,4,0,0,21,23,24,95,1,11.100000000000001,31,25,23,97,0,16.300000000000004,11,5,2,28,1,50.0,5,2,5,23,1,16.666666666666664
2015-09-26,Stoke,Bournemouth,2,1,H,5,6,0,0,24,26,25,82,3,11.200000000000001,7,8,9,20,0,6.6,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-09-26,Tottenham,Man City,4,1,H,8,8,0,0,30,26,26,93,1,17.400000000000006,45,48,16,138,0,26.10000000000001,4,9,28,71,2,10.0,25,28,9,81,0,80.0
2015-09-26,West Ham,Norwich,2,2,D,7,7,0,0,22,21,26,70,4,14.9,17,18,35,83,1,10.200000000000001,7,5,4,23,0,50.0,4,4,5,29,0,25.0
2015-09-27,Watford,Crystal Palace,0,1,A,2,3,0,0,22,20,28,82,1,14.2,31,29,24,83,1,16.900000000000006,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-09-28,West Brom,Everton,2,3,A,4,4,0,0,29,20,23,69,2,15.9,29,25,21,89,2,16.700000000000006,12,9,9,40,1,30.0,15,9,9,60,2,40.0
2015-10-03,Aston Villa,Stoke,0,1,A,2,5,0,0,20,27,35,81,2,9.100000000000001,27,27,22,82,3,13.400000000000002,10,10,13,39,1,20.0,16,13,10,37,1,40.0
2015-10-03,Bournemouth,Watford,1,1,D,6,2,0,0,7,9,11,26,0,6.300000000000001,22,20,28,81,1,12.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-10-03,Chelsea,Southampton,1,3,A,3,5,0,0,36,29,25,92,4,17.400000000000006,23,26,25,95,1,13.3,21,21,9,60,0,60.0,6,9,21,31,1,10.0
2015-10-03,Crystal Palace,West Brom,2,0,H,8,2,0,0,33,29,23,83,1,18.000000000000007,26,20,26,69,2,14.0,8,10,9,28,1,33.33333333333333,8,9,10,31,0,33.33333333333333
2015-10-03,Man City,Newcastle,6,1,H,11,4,0,0,42,45,19,138,0,24.000000000000004,10,14,37,69,6,5.5,30,30,4,84,0,100.0,0,4,30,46,1,0.0
2015-10-03,Norwich,Leicester,1,2,A,2,5,0,0,17,20,37,88,1,9.9,36,39,29,90,0,20.400000000000006,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-10-03,Sunderland,West Ham,2,2,D,3,6,1,0,16,15,33,69,2,7.500000000000002,22,23,28,76,3,14.9,13,12,8,74,1,30.0,13,8,12,64,1,30.0
2015-10-04,Arsenal,Man United,3,0,H,5,5,0,0,43,34,15,140,2,21.60000000000001,39,31,18,91,1,21.600000000000005,6,8,18,62,2,10.0,21,18,8,59,0,60.0
2015-10-04,Everton,Liverpool,1,1,D,4,4,0,0,32,28,22,89,1,18.10000000000001,31,23,28,101,3,14.800000000000002,9,10,17,52,1,10.0,15,17,10,83,0,30.0
2015-10-04,Swansea,Tottenham,2,2,D,2,11,0,0,31,26,24,98,0,15.200000000000003,33,28,24,96,1,19.000000000000007,1,7,16,34,0,0.0,22,16,7,61,0,87.5
2015-10-17,Chelsea,Aston Villa,2,0,H,3,1,0,0,35,29,27,90,3,15.600000000000003,20,26,34,81,1,8.3,20,25,12,74,3,60.0,8,12,25,49,1,20.0
2015-10-17,Crystal Palace,West Ham,1,3,A,1,4,1,0,36,30,21,88,1,19.800000000000008,22,23,28,77,3,14.700000000000001,9,6,4,17,1,75.0,3,4,6,19,0,25.0
2015-10-17,Everton,Man United,0,3,A,3,7,0,0,32,27,21,90,1,17.800000000000008,39,30,19,93,1,19.70000000000001,14,15,13,75,0,40.0,14,13,15,66,0,40.0
2015-10-17,Man City,Bournemouth,5,1,H,11,1,0,0,42,46,20,140,0,24.6,8,10,12,32,0,6.9,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-10-17,Southampton,Leicester,2,2,D,6,7,0,0,26,29,24,95,1,15.000000000000002,38,39,28,91,0,21.500000000000007,12,11,7,53,0,37.5,9,7,11,35,0,25.0
2015-10-17,Tottenham,Liverpool,0,0,D,4,3,0,0,33,28,24,99,1,18.400000000000006,29,22,29,101,3,14.400000000000002,13,14,20,65,1,40.0,16,20,14,65,2,50.0
2015-10-17,Watford,Arsenal,0,3,A,1,6,0,0,20,20,29,78,1,13.0,43,35,14,141,2,22.10000000000001,0,1,5,6,0,0.0,6,5,1,15,0,100.0
2015-10-17,West Brom,Sunderland,1,0,H,1,2,0,0,25,20,28,70,2,13.000000000000002,16,17,35,70,3,7.8000000000000025,21,21,11,55,0,60.0,6,11,21,45,0,10.0
2015-10-18,Newcastle,Norwich,6,2,H,6,6,0,0,10,15,38,72,6,5.100000000000001,17,21,37,84,1,9.5,12,9,9,63,2,37.5,9,9,9,39,1,25.0
2015-10-19,Swansea,Stoke,0,1,A,2,2,0,0,29,26,25,94,0,14.200000000000005,27,26,21,81,3,14.800000000000004,11,12,11,35,0,37.5,11,11,12,32,1,37.5
