Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,Home_Win_Prob,Draw_Prob,Away_Win_Prob
2015-09-19,Stoke,Leicester,2,2,D,4,5,0,0,24,25,24,81,3,35,36,25,87,0,3,1,1,7,0,3,1,1,4,0,0.4011817847282452,0.28771117729955314,0.3111070379722015
2015-09-19,Swansea,Everton,0,0,D,3,2,0,1,31,26,24,101,0,29,25,21,88,1,3,4,12,33,2,18,12,4,64,0,0.36270520581366533,0.2684744759607481,0.3688203182255866
2015-09-20,Liverpool,Norwich,1,1,D,7,2,0,0,31,22,27,95,3,16,18,36,87,1,22,27,7,76,0,1,7,27,38,0,0.4954458932578669,0.32972610764357596,0.174827999098557
2015-09-20,Southampton,Man United,2,3,A,8,3,0,0,24,22,21,92,1,37,29,18,94,2,8,11,17,55,0,20,17,11,63,0,0.31164305277896065,0.2801009267780766,0.40825602044296283
2015-09-20,Tottenham,Crystal Palace,1,0,H,6,4,0,0,30,27,27,95,1,34,30,23,81,1,8,5,6,34,0,8,6,5,30,0,0.441384773089205,0.24562525308540303,0.312989973825392
2015-09-26,Leicester,Arsenal,2,5,A,7,12,0,0,36,38,26,87,0,43,31,14,135,2,3,6,19,13,2,18,19,6,66,2,0.2250410683358335,0.1983494991529092,0.5766094325112573
2015-09-26,Liverpool,Aston Villa,3,2,H,12,4,0,0,31,23,28,96,3,20,25,34,81,2,17,14,9,70,0,11,9,14,45,0,0.4862925194551376,0.297678395645675,0.21602908489918726
2015-09-26,Man United,Sunderland,3,0,H,7,4,0,0,39,31,19,91,1,16,15,32,70,2,23,13,4,65,0,5,4,13,41,1,0.6656314313502112,0.20395981611008843,0.13040875253970036
2015-09-26,Newcastle,Chelsea,2,2,D,5,4,0,0,10,13,36,65,6,38,28,23,95,4,14,12,16,67,1,14,16,12,74,0,0.24883063466193264,0.3506985841703927,0.4004707811676747
2015-09-26,Southampton,Swansea,3,1,H,7,4,0,0,21,23,24,95,1,31,25,23,97,0,11,5,2,28,1,5,2,5,23,1,0.3525890362871945,0.3275350220502685,0.3198759416625369
2015-09-26,Stoke,Bournemouth,2,1,H,5,6,0,0,24,26,25,82,3,7,8,9,20,0,0,0,0,0,0,0,0,0,0,0,0.5330620974814575,0.28862955672498014,0.17830834579356233
2015-09-26,Tottenham,Man City,4,1,H,8,8,0,0,30,26,26,93,1,45,48,16,138,0,4,9,28,71,2,25,28,9,81,0,0.11863359081695408,0.22421331961868451,0.6571530895643614
2015-09-26,West Ham,Norwich,2,2,D,7,7,0,0,22,21,26,70,4,17,18,35,83,1,7,5,4,23,0,4,4,5,29,0,0.45142436758186594,0.34002068981756256,0.20855494260057147
2015-09-27,Watford,Crystal Palace,0,1,A,2,3,0,0,22,20,28,82,1,31,29,24,83,1,0,0,0,0,0,0,0,0,0,0,0.37224442924266765,0.25876351226624067,0.3689920584910916
2015-09-28,West Brom,Everton,2,3,A,4,4,0,0,29,20,23,69,2,29,25,21,89,2,12,9,9,40,1,15,9,9,60,2,0.3241467098439732,0.2816350450484447,0.39421824510758213
2015-10-03,Aston Villa,Stoke,0,1,A,2,5,0,0,20,27,35,81,2,27,27,22,82,3,10,10,13,39,1,16,13,10,37,1,0.3588142097771499,0.255743151643364,0.38544263857948624
2015-10-03,Bournemouth,Watford,1,1,D,6,2,0,0,7,9,11,26,0,22,20,28,81,1,0,0,0,0,0,0,0,0,0,0,0.34826294541263636,0.27977263489194154,0.37196441969542204
2015-10-03,Chelsea,Southampton,1,3,A,3,5,0,0,36,29,25,92,4,23,26,25,95,1,21,21,9,60,0,6,9,21,31,1,0.4256694557141831,0.3280453296580081,0.24628521462780875
2015-10-03,Crystal Palace,West Brom,2,0,H,8,2,0,0,33,29,23,83,1,26,20,26,69,2,8,10,9,28,1,8,9,10,31,0,0.5685031832388426,0.21221331186003856,0.21928350490111878
2015-10-03,Man City,Newcastle,6,1,H,11,4,0,0,42,45,19,138,0,10,14,37,69,6,30,30,4,84,0,0,4,30,46,1,0.8592325608647238,0.09453247832556158,0.04623496080971455
2015-10-03,Norwich,Leicester,1,2,A,2,5,0,0,17,20,37,88,1,36,39,29,90,0,0,0,0,0,0,0,0,0,0,0,0.31829535365396233,0.2593555933806731,0.4223490529653645
2015-10-03,Sunderland,West Ham,2,2,D,3,6,1,0,16,15,33,69,2,22,23,28,76,3,13,12,8,74,1,13,8,12,64,1,0.34640674812490607,0.29075581343471907,0.36283743844037486
2015-10-04,Arsenal,Man United,3,0,H,5,5,0,0,43,34,15,140,2,39,31,18,91,1,6,8,18,62,2,21,18,8,59,0,0.48732954567142733,0.2824585540085723,0.23021190032000047
2015-10-04,Everton,Liverpool,1,1,D,4,4,0,0,32,28,22,89,1,31,23,28,101,3,9,10,17,52,1,15,17,10,83,0,0.4480749593745927,0.24606819989681944,0.30585684072858793
2015-10-04,Swansea,Tottenham,2,2,D,2,11,0,0,31,26,24,98,0,33,28,24,96,1,1,7,16,34,0,22,16,7,61,0,0.3406890528453181,0.26238967338690133,0.39692127376778047
2015-10-17,Chelsea,Aston Villa,2,0,H,3,1,0,0,35,29,27,90,3,20,26,34,81,1,20,25,12,74,3,8,12,25,49,1,0.5356527297828846,0.27381586144532544,0.19053140877179
2015-10-17,Crystal Palace,West Ham,1,3,A,1,4,1,0,36,30,21,88,1,22,23,28,77,3,9,6,4,17,1,3,4,6,19,0,0.5927617534656147,0.19515360415417818,0.21208464238020722
2015-10-17,Everton,Man United,0,3,A,3,7,0,0,32,27,21,90,1,39,30,19,93,1,14,15,13,75,0,14,13,15,66,0,0.38286981237525436,0.2624483218032923,0.3546818658214534
