Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,HomeTeamPointWeightLast20,HomeTeamGoalScoredWeightLast20,HomeTeamGoalConcededWeightLast20,HomeTeamShotTargetWeightLast20,HomeTeamRedWeightLast20,AwayTeamPointWeightLast20,AwayTeamGoalScoredWeightLast20,AwayTeamGoalConcededWeightLast20,AwayTeamShotTargetWeightLast20,AwayTeamRedWeightLast20
2022-01-14,Brighton,Crystal Palace,1,1,D,4,1,0,0,27,20,22,78,1,23,29,30,74,1,7,9,9,32,2,10,9,9,27,0,0.14516789678003195,0.09646094749592979,0.44327725633510573,0.5498185137825776,4.096000000000002e-09,0.05288024475712882,0.0208954908896605,0.617055246133001,0.30330056158253943,2.6214400000000027e-13
2022-01-15,Man City,Chelsea,1,0,H,6,1,0,0,53,53,12,140,1,40,42,16,111,1,18,14,11,51,2,12,11,14,28,1,0.7466704639999923,1.2084841166474525,0.0001315890798369178,1.2671868765260168,5.120000000000002e-07,0.6690397865006178,0.4690244260077975,0.040384107879145155,1.1686257342245083,0.04000000000000001
2022-01-15,Newcastle,Watford,1,1,D,1,5,0,0,14,21,42,69,1,14,25,40,77,1,9,9,13,30,0,15,13,9,39,0,0.6016769073676393,0.4836004929931943,0.18056362676029755,0.9374906696315752,5.120000000000002e-07,0.06404102193152002,0.46404106312907495,0.659664430187896,0.538481539199313,8.192000000000005e-10
2022-01-15,Norwich,Everton,2,1,H,3,5,0,0,10,8,44,60,2,22,24,37,80,1,11,11,15,41,0,14,15,11,67,0,1.5434711040000006e-05,0.008320151715840001,0.8186918136488082,0.6353622223140213,5.121638400000003e-07,0.6267601928231847,0.2280376770655106,0.21130312554468347,0.9828083731875339,8.192000000000005e-10
2022-01-15,Wolves,Southampton,3,1,H,5,10,0,0,28,15,16,67,1,24,24,30,81,2,14,11,11,33,0,8,11,11,47,0,0.0010077824950783184,0.20065960017947265,0.44973171507986437,0.9792486322105065,1.3107200000000013e-12,0.04992856083878905,0.2560165113399503,0.6561034358521175,0.7738646361018573,1.2800000052428805e-05
2022-01-15,Aston Villa,Man United,2,2,D,9,6,0,0,25,27,31,69,1,34,32,28,96,2,5,8,20,31,2,23,20,8,59,0,0.6258304029695674,0.49780850889254247,0.32256704945341863,0.7061611280417163,2.0480000000000012e-08,0.7339546217261566,0.6110116465296278,0.24840193169850108,1.1597501307565588,1.0321920000000006e-07
2022-01-16,Liverpool,Brentford,3,0,H,13,1,0,0,42,52,18,133,1,23,24,30,80,1,1,3,3,6,0,1,3,3,4,0,0.7338461337592896,0.6939932261199592,0.00821786640574841,2.0340602287350196,2.6214400000000027e-13,0.6490624066061862,0.40885824806595855,0.009808744850747559,0.7389139554881924,0.0003200000000000001
2022-01-16,West Ham,Leeds,2,3,A,5,5,0,0,34,35,25,92,2,22,24,38,92,1,13,10,12,52,1,13,12,10,57,1,0.6490079245444633,0.8823217206105683,0.28364874663628636,1.5930264347756988,0.008000000006553602,0.6096718482047292,0.6576795083237806,0.41865024063349465,1.9571307994949039,0.0003200000000000001
2022-01-18,Brighton,Chelsea,1,1,D,2,3,0,0,28,21,21,81,1,37,40,17,107,1,3,3,13,21,1,15,13,3,47,0,0.7258394839001702,0.4823047374796594,0.2163862816755391,1.7490925689129297,2.0480000000000012e-08,0.34519893250308836,0.3451221300389872,0.20192053939573623,0.8431286711225524,0.2
2022-01-19,Leicester,Tottenham,2,3,A,4,10,0,0,25,34,39,96,1,36,28,24,96,1,14,16,21,43,0,14,21,16,53,0,0.024963441564875496,0.2902593955259063,0.5668159788642992,0.88267904530688,0.0016000000000000003,0.14976184463086586,0.36992389161634764,0.48023882973451393,0.9962644284266409,6.400000000000002e-05
2022-01-19,Brentford,Man United,1,3,A,8,5,0,0,20,22,33,78,1,32,32,29,98,2,0,0,0,0,0,0,0,0,0,0,0.24531203303093047,0.04429124032979272,0.049043724253769246,0.6945697774409719,0.0016000000000000003,0.6697731086307925,1.0550582326481597,0.2420096584925263,1.7987506537828557,5.160960000000002e-07
2022-01-21,Watford,Norwich,0,3,A,4,2,1,0,15,24,38,80,1,13,10,42,60,2,9,9,5,24,1,3,5,9,17,0,0.3202051096576105,0.320205315645385,0.29832215093948977,0.6924076959966168,4.096000000000002e-09,7.717355523145732e-05,0.04160075857922098,1.0934590682440506,0.17681111157013746,2.560819200000001e-06
2022-01-22,Everton,Aston Villa,0,1,A,1,3,0,0,19,24,39,81,1,23,27,32,75,1,16,17,12,47,0,13,12,17,31,0,0.13380096411592296,0.14018838532756345,1.0565156277234382,0.9140418659377219,4.096000000000002e-09,0.12915201484784666,0.48904254446273304,0.6128352472671139,0.530805640208675,1.0240000000000006e-07
2022-01-22,Brentford,Wolves,1,2,A,1,2,0,0,19,23,36,83,1,31,17,15,68,1,3,2,0,3,1,0,0,2,0,0,0.2265601651546522,0.2214562016489741,0.24521862126887767,0.472848887204943,0.008000000000000002,0.005038912475423049,0.0032980008973946067,0.24865857539933212,0.8962431610525845,6.5536000000000055e-12
2022-01-22,Leeds,Newcastle,0,1,A,4,3,0,0,22,24,39,88,1,12,20,43,66,1,11,17,20,57,1,17,20,17,71,0,0.04835924102367675,0.2883975416189341,1.093251203167494,0.785653997474572,0.0016000000000000003,0.008384536838206917,0.41800246496598165,0.9028181338014981,0.6874533481578864,2.5600000000000013e-06
2022-01-22,Man United,West Ham,1,0,H,3,1,0,0,32,30,29,95,2,31,33,27,90,2,17,16,11,55,0,11,11,16,32,1,0.34886554315399365,0.27529116324083014,0.2100482924626418,0.99375326891433,2.5804800000000013e-06,0.2450396227223159,0.41160860305286234,0.4182437331814633,0.9651321738785457,0.040000000032768004
2022-01-22,Southampton,Man City,1,1,D,3,5,0,0,24,24,30,88,2,53,49,12,142,1,5,10,23,35,0,23,23,10,55,0,0.24964280419394522,0.28008255669976173,0.2805171792606187,0.8693231805093906,6.400000026214402e-05,0.7333523199999923,1.0424205832372722,0.000657945399184589,2.335934382630146,2.5600000000000013e-06
2022-01-23,Arsenal,Burnley,0,0,D,5,1,0,0,35,33,25,105,2,11,16,35,68,0,23,14,4,49,2,5,4,14,33,0,0.0059692671221366796,0.002118883302451446,0.5200696489413392,0.932654221538959,0.008000000000010488,6.462115702374403e-05,0.001677834911806915,0.9319460342348436,0.9900384925860968,0.0
2022-01-23,Crystal Palace,Liverpool,1,3,A,5,7,0,0,24,30,28,74,1,42,52,18,138,1,3,7,26,34,1,27,26,7,68,1,0.26440122378565456,0.104477454448313,0.08527623066501515,0.5165028079127075,1.3107200000000013e-12,0.6692306687964795,0.4699661305998266,0.04108933202874205,2.170301143675233,1.3107200000000013e-12
2022-01-23,Leicester,Brighton,1,1,D,5,5,0,0,25,35,40,97,1,26,20,21,75,1,16,13,4,33,2,4,4,13,19,0,0.12481720782437747,0.45129697762955234,0.8340798943215275,1.4133952265344414,0.008000000000000002,0.6291974195008609,0.4115236873983073,0.08193140837770593,0.7454628445646698,1.0240000000000006e-07
2022-01-23,Chelsea,Tottenham,2,0,H,7,3,0,0,37,40,17,107,0,39,30,24,102,1,17,14,12,38,0,11,12,14,41,1,0.7259946625154523,0.7256106501949464,0.009602696978691524,1.2156433556127928,0.0,0.7488092231543608,0.8496194580817694,0.40119414867259034,0.9813221421333087,0.0003200000000000001
2022-02-05,Burnley,Watford,0,0,D,2,5,0,0,12,16,31,65,0,14,23,40,82,2,12,10,6,28,1,6,6,10,27,1,0.00032310578512920586,0.008389174559034575,0.6597301711742174,0.9501924629304942,0.0,0.6010255482880525,0.6010265782269248,0.49161075469748017,1.4620384799831256,2.0480010485760013e-08
2022-02-08,Newcastle,Everton,3,1,H,9,3,0,0,15,19,39,66,1,19,24,35,79,1,8,8,15,33,3,20,15,8,55,0,0.04192268419106604,0.09001232482991868,0.5140906690074903,0.43726674078946304,1.2800000000000005e-05,0.6690048205796149,0.7009419266378172,0.2825781386172013,1.5702093296886195,2.0480000000000012e-08
2022-02-08,West Ham,Watford,1,0,H,3,1,0,0,30,31,26,87,2,12,20,38,80,2,14,16,14,56,2,14,14,16,46,1,0.2251981136115794,0.058043015264311715,0.09121866590732683,0.8256608693927387,0.20000000016384,0.005127741440272631,0.005132891134623745,0.4580537734874006,0.31019239991567976,1.0240005242880006e-07
2022-02-08,Burnley,Man United,1,1,D,3,5,0,0,13,16,28,63,0,34,30,28,94,2,5,6,16,16,0,23,16,6,68,2,0.001615528925656515,0.041945872795172874,0.29865085587108664,0.7509623146524915,0.0,0.7443277157699998,0.3764558162041609,0.05024146231320904,0.9687663445716816,1.2902400000000004e-05
2022-02-09,Man City,Brentford,2,0,H,7,2,0,0,51,45,13,137,1,18,23,37,82,1,3,1,0,3,0,0,0,1,2,0,0.6667615999999713,0.21210291618637153,0.0032897269959334305,1.679671913150782,1.2800000000000005e-05,0.13280082577326083,0.10728100824488086,0.22609310634440918,0.3642444360247254,0.04000000000000001
2022-02-09,Norwich,Crystal Palace,1,1,D,1,5,0,0,16,13,37,62,2,23,31,31,77,1,7,8,15,46,1,16,15,8,50,0,0.0003858677761887438,0.20800379289613632,0.4672953412202529,0.8840555578507081,1.2804096000000004e-05,0.32200611892827263,0.5223872722415754,0.4263811533251072,0.5825140395635902,6.5536000000000055e-12
2022-02-09,Tottenham,Southampton,2,3,A,3,10,0,0,36,26,24,101,1,24,24,30,88,2,23,25,12,57,1,5,12,25,43,2,0.7440461157718034,0.24809729040884698,0.00597074336297255,0.9066107106665747,0.0016000000000000003,0.24821402096973647,0.40041278349881904,0.4025858963031039,1.346615902546984,0.00032000000131072006
2022-02-09,Aston Villa,Leeds,3,3,D,4,8,1,0,26,26,29,76,1,22,23,35,89,1,12,8,11,52,0,15,11,8,46,1,0.6457600742392647,0.4452127223136754,0.06417623633556932,0.6540282010434064,5.120000000000002e-07,0.24179620511838373,0.4419877080946705,0.4662560158374796,0.9282699873729015,0.008000000000000002
2022-02-10,Liverpool,Leicester,2,0,H,11,1,0,0,42,53,19,136,1,26,34,37,96,1,21,22,13,69,0,9,13,22,35,0,0.34615334398242853,0.34983065299916427,0.2054466601437207,1.8515057183762367,6.5536000000000055e-12,0.6240860391218979,0.25648488814777204,0.17039947160764812,1.066976132672258,0.04000000000000001
2022-02-10,Wolves,Arsenal,0,1,A,4,2,0,1,34,19,15,67,1,36,33,23,106,2,9,8,17,50,3,18,17,8,71,2,0.025194562377146703,0.016490004486994007,0.24329287699667093,1.481215805262943,3.276800000000003e-11,0.029846335610693886,0.010594416512257232,0.6003482447066957,0.6632711076948477,0.04000000000005244
2022-02-12,Man United,Southampton,1,1,D,8,4,0,0,32,30,29,96,2,26,25,30,92,2,17,19,7,51,0,8,7,19,33,3,0.721638578850009,0.8822790810208149,0.2512073115660557,1.8438317228584602,6.451200000000002e-05,0.24107010484871366,0.0020639174941265107,0.012929481515540155,0.7330795127350233,0.0016000000065536002
2022-02-12,Brentford,Crystal Palace,0,0,D,2,3,0,0,18,23,38,83,1,23,30,30,80,1,1,0,0,3,0,1,0,0,2,0,0.6640041288663041,0.5364050412244042,0.13046553172206685,0.8212221801236478,0.2,0.6100305946413735,0.6119363612078874,0.1319057666255461,0.9125701978180027,3.276800000000003e-11
2022-02-12,Everton,Leeds,3,0,H,10,0,0,0,16,22,37,76,1,22,24,36,93,1,16,16,10,61,0,10,10,16,49,1,0.3450241028980736,0.5047096331890957,0.412890693086038,1.8510466484431278,1.0240000000000006e-07,0.2089810255919291,0.20993854047338367,0.3312800791874293,0.6413499368645906,0.04000000000000001
2022-02-12,Watford,Brighton,0,2,A,1,6,0,0,12,20,37,80,2,24,19,22,77,1,5,3,7,12,1,11,7,3,13,0,0.025638707201363155,0.025664455673118727,0.2902688674370133,0.5509619995784092,5.120002621440003e-07,0.14598709750431485,0.057618436991546826,0.40965704188854013,0.7273142228234012,5.120000000000002e-07
