Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10
2015-09-20,Southampton,Man United,2,3,A,M Clattenburg,8,3,0,0,24,22,21,92,1,37,29,18,94,2,8,11,17,55,0,20,17,11,63,0
2015-09-20,Tottenham,Crystal Palace,1,0,H,M Oliver,6,4,0,0,30,27,27,95,1,34,30,23,81,1,8,5,6,34,0,8,6,5,30,0
2015-09-26,Leicester,Arsenal,2,5,A,C Pawson,7,12,0,0,36,38,26,87,0,43,31,14,135,2,3,6,19,13,2,18,19,6,66,2
2015-09-26,Liverpool,Aston Villa,3,2,H,J Moss,12,4,0,0,31,23,28,96,3,20,25,34,81,2,17,14,9,70,0,11,9,14,45,0
2015-09-26,Man United,Sunderland,3,0,H,M Jones,7,4,0,0,39,31,19,91,1,16,15,32,70,2,23,13,4,65,0,5,4,13,41,1
2015-09-26,Newcastle,Chelsea,2,2,D,M Atkinson,5,4,0,0,10,13,36,65,6,38,28,23,95,4,14,12,16,67,1,14,16,12,74,0
2015-09-26,Southampton,Swansea,3,1,H,R East,7,4,0,0,21,23,24,95,1,31,25,23,97,0,11,5,2,28,1,5,2,5,23,1
2015-09-26,Stoke,Bournemouth,2,1,H,L Mason,5,6,0,0,24,26,25,82,3,7,8,9,20,0,0,0,0,0,0,0,0,0,0,0
2015-09-26,Tottenham,Man City,4,1,H,M Clattenburg,8,8,0,0,30,26,26,93,1,45,48,16,138,0,4,9,28,71,2,25,28,9,81,0
2015-09-26,West Ham,Norwich,2,2,D,M Dean,7,7,0,0,22,21,26,70,4,17,18,35,83,1,7,5,4,23,0,4,4,5,29,0
2015-09-27,Watford,Crystal Palace,0,1,A,A Taylor,2,3,0,0,22,20,28,82,1,31,29,24,83,1,0,0,0,0,0,0,0,0,0,0
2015-09-28,West Brom,Everton,2,3,A,R Madley,4,4,0,0,29,20,23,69,2,29,25,21,89,2,12,9,9,40,1,15,9,9,60,2
2015-10-03,Aston Villa,Stoke,0,1,A,M Jones,2,5,0,0,20,27,35,81,2,27,27,22,82,3,10,10,13,39,1,16,13,10,37,1
2015-10-03,Bournemouth,Watford,1,1,D,M Oliver,6,2,0,0,7,9,11,26,0,22,20,28,81,1,0,0,0,0,0,0,0,0,0,0
2015-10-03,Chelsea,Southampton,1,3,A,R Madley,3,5,0,0,36,29,25,92,4,23,26,25,95,1,21,21,9,60,0,6,9,21,31,1
2015-10-03,Crystal Palace,West Brom,2,0,H,J Moss,8,2,0,0,33,29,23,83,1,26,20,26,69,2,8,10,9,28,1,8,9,10,31,0
2015-10-03,Man City,Newcastle,6,1,H,K Friend,11,4,0,0,42,45,19,138,0,10,14,37,69,6,30,30,4,84,0,0,4,30,46,1
2015-10-03,Norwich,Leicester,1,2,A,M Clattenburg,2,5,0,0,17,20,37,88,1,36,39,29,90,0,0,0,0,0,0,0,0,0,0,0
2015-10-03,Sunderland,West Ham,2,2,D,N Swarbrick,3,6,1,0,16,15,33,69,2,22,23,28,76,3,13,12,8,74,1,13,8,12,64,1
2015-10-04,Arsenal,Man United,3,0,H,A Taylor,5,5,0,0,43,34,15,140,2,39,31,18,91,1,6,8,18,62,2,21,18,8,59,0
2015-10-04,Everton,Liverpool,1,1,D,M Atkinson,4,4,0,0,32,28,22,89,1,31,23,28,101,3,9,10,17,52,1,15,17,10,83,0
2015-10-04,Swansea,Tottenham,2,2,D,M Dean,2,11,0,0,31,26,24,98,0,33,28,24,96,1,1,7,16,34,0,22,16,7,61,0
2015-10-17,Chelsea,Aston Villa,2,0,H,R East,3,1,0,0,35,29,27,90,3,20,26,34,81,1,20,25,12,74,3,8,12,25,49,1
2015-10-17,Crystal Palace,West Ham,1,3,A,M Clattenburg,1,4,1,0,36,30,21,88,1,22,23,28,77,3,9,6,4,17,1,3,4,6,19,0
2015-10-17,Everton,Man United,0,3,A,J Moss,3,7,0,0,32,27,21,90,1,39,30,19,93,1,14,15,13,75,0,14,13,15,66,0
2015-10-17,Man City,Bournemouth,5,1,H,M Dean,11,1,0,0,42,46,20,140,0,8,10,12,32,0,0,0,0,0,0,0,0,0,0,0
2015-10-17,Southampton,Leicester,2,2,D,P Tierney,6,7,0,0,26,29,24,95,1,38,39,28,91,0,12,11,7,53,0,9,7,11,35,0
2015-10-17,Tottenham,Liverpool,0,0,D,C Pawson,4,3,0,0,33,28,24,99,1,29,22,29,101,3,13,14,20,65,1,16,20,14,65,2
2015-10-17,Watford,Arsenal,0,3,A,M Jones,1,6,0,0,20,20,29,78,1,43,35,14,141,2,0,1,5,6,0,6,5,1,15,0
2015-10-17,West Brom,Sunderland,1,0,H,M Atkinson,1,2,0,0,25,20,28,70,2,16,17,35,70,3,21,21,11,55,0,6,11,21,45,0
2015-10-18,Newcastle,Norwich,6,2,H,A Taylor,6,6,0,0,10,15,38,72,6,17,21,37,84,1,12,9,9,63,2,9,9,9,39,1
2015-10-19,Swansea,Stoke,0,1,A,R Madley,2,2,0,0,29,26,25,94,0,27,26,21,81,3,11,12,11,35,0,11,11,12,32,1
2015-10-24,Arsenal,Everton,2,1,H,L Mason,5,5,0,1,43,36,14,143,2,32,27,22,91,1,19,12,9,65,0,7,9,12,45,0
2015-10-24,Aston Villa,Swansea,1,2,A,N Swarbrick,3,4,0,0,20,26,35,79,1,26,25,26,94,0,6,6,11,37,0,15,11,6,43,0
