Home team,Away team,Home team Points H2H,Home team Goal scored H2H,Home Team Red Cards H2H,Home Team Shot on Target H2H,Away team Points H2H,Away team Goal scored H2H,Away Team Red Cards H2H,Away Team Shot on Target H2H
Ipswich,Chelsea,2,2,0,18,2,2,0,6
Man City,Derby,4,1,0,13,1,0,0,6
Middlesbrough,Liverpool,13,7,1,28,10,6,0,58
Newcastle,Leeds,12,10,0,55,9,9,1,51
West Ham,Charlton,10,10,0,30,4,3,1,23
Southampton,Tottenham,23,19,4,73,20,22,0,98
Arsenal,Sunderland,32,27,0,119,5,9,1,49
Ipswich,Tottenham,6,5,0,14,0,1,0,9
Man City,Charlton,8,9,0,41,8,8,0,27
Middlesbrough,Coventry,1,1,0,6,1,1,0,3
Newcastle,Man United,19,25,0,115,37,44,1,142
Southampton,Derby,6,3,0,10,0,0,0,8
Charlton,Arsenal,4,4,1,26,16,13,0,55
Chelsea,Aston Villa,49,53,2,154,10,19,1,96
Coventry,Man City,1,1,0,9,1,1,0,5
Derby,Everton,3,4,0,9,6,6,0,16
Leeds,Middlesbrough,4,2,1,14,4,4,0,12
Leicester,Bradford,0,1,0,3,3,2,0,4
Liverpool,Southampton,39,36,0,119,9,7,1,52
Man United,West Ham,47,34,2,149,8,7,0,47
Sunderland,Ipswich,6,5,0,15,0,1,0,7
Tottenham,Newcastle,37,41,2,170,25,24,2,84
Arsenal,Chelsea,28,26,1,114,34,32,1,117
Aston Villa,Liverpool,10,16,0,98,49,35,0,137
Bradford,Man United,0,0,0,3,3,3,0,11
Everton,Tottenham,26,19,3,122,29,21,4,92
Man City,Leeds,13,25,0,71,7,8,1,24
Middlesbrough,Derby,9,10,0,18,0,1,0,8
Newcastle,Coventry,3,3,0,6,0,1,0,5
Southampton,Charlton,9,4,0,37,3,2,0,32
West Ham,Sunderland,29,17,0,83,8,7,1,70
Ipswich,Leicester,6,4,0,15,0,0,0,4
Chelsea,Ipswich,6,6,0,16,0,2,1,5
Coventry,Everton,0,1,0,5,3,3,0,4
Derby,Man City,2,2,0,9,2,2,0,9
Leeds,Newcastle,4,11,0,41,19,17,0,43
Leicester,Arsenal,10,11,1,58,22,20,2,66
Liverpool,Middlesbrough,23,17,0,72,2,4,2,28
Man United,Aston Villa,47,44,0,166,14,15,0,79
Tottenham,Southampton,34,36,1,93,16,24,1,104
Sunderland,Bradford,1,0,0,6,1,0,0,3
Charlton,West Ham,11,15,0,28,2,7,0,24
Aston Villa,Leeds,7,12,3,37,13,15,0,45
Arsenal,Bradford,3,2,0,8,0,0,0,2
Charlton,Derby,6,3,0,12,0,1,0,5
Chelsea,Newcastle,54,45,1,138,6,9,1,65
Everton,Middlesbrough,19,13,0,63,4,5,0,39
Leeds,Coventry,3,1,0,6,0,0,0,1
Man City,Liverpool,29,33,2,91,23,26,1,116
Southampton,Leicester,16,19,3,79,16,26,0,82
Sunderland,Man United,6,8,3,63,33,24,2,105
West Ham,Tottenham,32,25,1,123,29,23,3,122
Bradford,Aston Villa,0,0,0,2,3,3,0,6
Coventry,Arsenal,0,0,0,4,3,1,0,6
Derby,Sunderland,4,1,0,11,4,1,0,14
Ipswich,Leeds,0,2,1,12,6,4,0,10
Leicester,Chelsea,10,12,0,47,25,28,0,62
Liverpool,West Ham,51,42,1,152,6,10,3,59
Man United,Everton,51,45,0,181,12,20,2,91
Middlesbrough,Man City,15,18,1,53,6,9,1,40
Tottenham,Charlton,8,12,1,59,11,9,1,32
Everton,Leeds,17,17,0,63,5,3,1,19
Arsenal,Ipswich,6,3,0,18,0,0,0,5
Aston Villa,Middlesbrough,7,8,0,39,13,10,0,33
Chelsea,Man United,41,34,2,155,20,24,2,111
Everton,Leicester,18,21,0,52,9,17,0,37
Leeds,Derby,4,3,0,16,1,0,0,4
Man City,Tottenham,27,40,2,153,36,33,3,103
Southampton,Bradford,3,2,0,6,0,0,0,1
Sunderland,Liverpool,12,9,3,50,27,18,1,99
Charlton,Newcastle,12,9,0,41,6,5,1,41
West Ham,Coventry,1,1,0,9,1,1,0,4
Bradford,West Ham,0,1,0,5,3,2,0,5
Coventry,Charlton,1,2,0,7,1,2,0,7
Derby,Aston Villa,6,4,0,17,3,7,0,22
Ipswich,Everton,4,2,0,10,1,0,1,8
Leicester,Sunderland,13,9,0,32,1,2,1,20
Middlesbrough,Southampton,3,6,0,38,12,10,0,28
Newcastle,Man City,15,20,1,106,42,41,0,122
Tottenham,Leeds,21,16,1,38,3,7,0,49
Man United,Arsenal,51,47,0,157,15,23,3,122
Arsenal,West Ham,49,44,1,185,10,12,4,59
Coventry,Chelsea,1,0,0,10,1,0,0,11
Derby,Tottenham,6,3,0,17,3,4,0,18
Everton,Newcastle,45,38,4,139,15,21,4,103
Leeds,Man United,5,11,0,46,17,18,0,58
Leicester,Liverpool,22,18,1,57,16,18,0,65
Man City,Southampton,31,31,0,107,13,16,0,54
Middlesbrough,Charlton,7,4,0,44,7,5,0,29
Ipswich,Bradford,3,3,0,8,0,1,0,5
Sunderland,Aston Villa,13,12,1,77,22,19,1,74
West Ham,Chelsea,26,23,1,97,32,34,2,125
Aston Villa,Ipswich,6,4,0,10,0,2,0,6
Bradford,Man City,1,2,0,7,1,2,0,3
Charlton,Leeds,0,2,1,17,12,11,0,30
Chelsea,Sunderland,33,40,0,120,9,15,1,51
Man United,Leicester,28,22,0,79,7,9,1,41
Newcastle,Middlesbrough,13,12,0,58,7,7,1,36
Southampton,Everton,33,26,0,102,12,12,1,53
Tottenham,Coventry,3,3,0,4,0,0,0,5
West Ham,Ipswich,3,3,0,13,3,2,0,10
Aston Villa,Arsenal,9,11,1,76,45,29,1,104
Liverpool,Derby,7,9,0,23,1,1,0,8
Arsenal,Tottenham,57,58,0,173,9,26,6,102
Bradford,Newcastle,1,2,0,8,1,2,0,7
Chelsea,Middlesbrough,23,16,0,66,2,3,0,25
Coventry,Derby,3,2,1,7,0,0,0,8
Liverpool,Man United,35,32,4,128,29,16,4,67
Man City,Aston Villa,54,57,2,151,6,18,1,82
Sunderland,Leeds,3,3,0,19,6,4,1,14
West Ham,Everton,23,22,3,98,32,27,4,87
Charlton,Leicester,7,6,1,28,1,2,2,12
Southampton,Ipswich,1,3,0,9,4,6,0,10
Aston Villa,Leicester,19,16,1,48,10,15,2,49
Aston Villa,West Ham,26,23,3,101,23,26,1,94
Derby,Chelsea,1,1,0,14,7,7,1,20
Leeds,Southampton,14,11,0,46,5,4,1,43
Leicester,Coventry,0,1,0,4,3,3,0,5
Everton,Man City,31,28,2,96,31,26,3,138
Middlesbrough,Sunderland,9,6,2,32,6,5,0,26
Ipswich,Liverpool,1,1,0,7,4,7,0,13
Man United,Charlton,19,16,0,67,1,2,0,17
Tottenham,Bradford,3,2,0,13,0,1,0,5
Man City,Arsenal,35,43,1,139,26,33,3,110
Bradford,Charlton,3,2,0,8,0,0,0,8
Liverpool,Leeds,19,30,1,78,4,8,0,26
Arsenal,Middlesbrough,18,22,0,92,6,10,3,25
Aston Villa,Everton,37,36,1,108,19,23,0,105
Chelsea,Southampton,31,33,0,109,13,22,3,56
Ipswich,Newcastle,3,1,0,10,3,1,1,7
Leicester,Man City,5,6,0,30,23,13,0,53
Man United,Coventry,3,4,0,13,0,2,0,4
Sunderland,Tottenham,14,16,0,72,23,17,0,87
West Ham,Derby,9,9,0,27,0,2,1,14
Coventry,Sunderland,3,1,0,9,0,0,0,3
Derby,Leicester,3,4,0,15,3,3,0,10
Everton,Liverpool,15,23,10,94,45,43,0,137
Middlesbrough,Ipswich,1,1,0,5,4,2,0,8
Newcastle,West Ham,31,37,0,117,19,26,2,98
Charlton,Aston Villa,11,13,1,47,8,8,1,41
Tottenham,Chelsea,24,27,3,126,42,42,4,148
Arsenal,Everton,58,61,2,166,7,19,3,80
Aston Villa,Southampton,21,24,1,97,18,15,0,50
Bradford,Derby,3,2,0,9,0,0,1,3
Chelsea,Charlton,13,9,1,38,7,5,0,22
Ipswich,Coventry,3,2,0,5,0,0,0,2
Leicester,Middlesbrough,2,3,0,16,8,7,0,18
Man United,Man City,24,26,3,117,33,34,1,111
Sunderland,Newcastle,16,13,1,68,16,13,2,65
West Ham,Leeds,4,11,0,42,16,15,1,36
Liverpool,Tottenham,48,41,0,157,12,21,1,102
Coventry,Liverpool,0,0,0,4,3,2,0,6
Derby,Arsenal,0,3,0,17,9,10,1,26
Everton,Bradford,3,2,0,9,0,1,0,4
Leeds,Chelsea,9,5,3,33,12,10,0,45
Man City,West Ham,49,36,0,156,7,14,1,64
Middlesbrough,Man United,4,8,0,34,22,16,1,55
Newcastle,Leicester,21,15,0,58,15,17,0,46
Southampton,Sunderland,12,15,1,52,9,6,0,22
Tottenham,Aston Villa,44,37,0,166,14,18,2,89
Charlton,Ipswich,6,5,0,15,0,3,0,10
Bradford,Liverpool,0,0,0,4,3,2,0,10
Newcastle,Southampton,30,31,1,101,9,20,0,67
Arsenal,Leeds,18,20,0,66,6,11,5,24
Aston Villa,Coventry,3,3,0,4,0,2,0,3
Bradford,Middlesbrough,1,1,0,7,1,1,0,9
Chelsea,Everton,47,41,0,179,11,16,2,78
Leicester,Tottenham,13,22,0,75,25,31,0,81
Liverpool,Newcastle,53,50,0,166,5,14,7,63
Man United,Derby,6,9,0,29,3,2,0,16
Sunderland,Charlton,4,7,0,37,7,10,1,20
West Ham,Southampton,21,27,0,75,18,19,1,62
Ipswich,Man City,3,2,0,7,0,1,0,7
Liverpool,Chelsea,27,26,0,154,30,26,4,96
Leeds,Bradford,3,6,0,9,0,1,0,7
Southampton,Man United,13,19,1,77,31,27,0,90
Newcastle,Arsenal,22,18,3,85,37,23,3,97
Charlton,Liverpool,9,8,0,37,12,13,1,56
Coventry,Bradford,1,0,0,7,1,0,0,3
Derby,Ipswich,1,2,0,7,4,4,0,11
Everton,Sunderland,32,35,1,121,8,12,1,63
Leeds,Leicester,10,12,1,47,7,12,0,35
Man City,Chelsea,34,22,3,116,31,23,1,77
Middlesbrough,West Ham,13,10,0,39,7,7,1,36
Newcastle,Aston Villa,40,30,4,107,10,11,2,81
Southampton,Arsenal,25,21,2,58,16,17,3,87
Tottenham,Man United,18,22,0,121,42,40,2,134
Derby,Blackburn,3,3,0,10,3,3,0,22
Leicester,Bolton,1,1,0,16,4,6,0,17
Man United,Fulham,38,38,0,163,5,14,1,79
Bolton,Middlesbrough,13,8,0,47,4,2,0,33
Blackburn,Man United,14,11,2,49,14,13,1,81
Fulham,Sunderland,17,11,1,83,11,12,1,58
Blackburn,Tottenham,12,9,2,82,18,12,2,53
Fulham,Derby,2,0,1,10,2,0,0,11
Bolton,Liverpool,14,17,1,67,17,18,0,77
Leeds,Bolton,1,2,0,19,7,6,0,16
Sunderland,Blackburn,14,9,0,58,8,5,0,33
Charlton,Fulham,9,9,1,30,6,7,0,33
Bolton,Southampton,3,2,0,37,6,3,1,21
Fulham,Arsenal,10,10,2,76,34,32,3,91
Ipswich,Blackburn,1,1,0,10,1,1,0,4
Blackburn,Bolton,13,15,0,74,16,12,2,58
Arsenal,Bolton,27,24,0,114,3,10,5,34
Blackburn,Everton,13,7,1,69,16,9,0,55
Leicester,Fulham,1,1,0,15,7,4,0,11
Bolton,Sunderland,8,6,0,48,14,8,0,51
Aston Villa,Blackburn,25,20,0,64,7,8,1,38
Fulham,Chelsea,8,8,1,51,29,22,2,96
Bolton,Newcastle,21,18,1,73,9,15,1,60
Aston Villa,Fulham,29,23,0,72,8,9,1,54
Blackburn,West Ham,10,15,1,57,10,10,1,31
Arsenal,Blackburn,26,36,0,119,5,10,3,41
Man United,Bolton,27,25,1,109,6,6,0,51
Fulham,Ipswich,1,1,1,3,1,1,0,2
Aston Villa,Bolton,19,24,0,81,10,13,0,64
Fulham,Southampton,15,11,0,33,6,9,0,35
Blackburn,Leicester,4,1,0,7,1,0,0,9
Bolton,Everton,14,15,3,77,17,15,0,74
Southampton,Blackburn,7,7,0,40,4,5,2,17
West Ham,Fulham,22,21,2,85,7,12,1,57
Blackburn,Liverpool,11,13,1,49,17,16,1,87
Fulham,Newcastle,27,22,0,72,12,16,1,68
Ipswich,Bolton,0,1,0,4,3,2,0,5
Bolton,Fulham,14,8,0,78,14,11,1,62
Chelsea,Blackburn,24,25,0,112,6,7,0,38
Blackburn,Middlesbrough,9,9,2,39,9,12,0,35
Fulham,Leeds,7,4,0,24,4,2,0,19
Tottenham,Bolton,25,21,1,91,7,9,2,64
Derby,Bolton,4,2,0,12,1,1,0,10
Fulham,Everton,26,19,2,76,14,15,2,88
Blackburn,Leeds,3,3,0,20,6,4,0,15
Liverpool,Fulham,31,27,0,136,10,4,0,63
Bolton,Charlton,9,10,0,53,6,5,0,19
Newcastle,Blackburn,12,15,0,60,18,12,1,46
Tottenham,Fulham,31,25,1,110,10,9,2,67
Charlton,Blackburn,12,8,0,34,6,7,0,37
Chelsea,Bolton,24,26,0,92,6,12,1,33
Blackburn,Sunderland,12,8,2,48,9,7,1,36
Bolton,Leeds,3,4,0,25,6,7,1,16
Fulham,Charlton,14,7,0,30,2,2,0,29
Blackburn,Derby,3,3,0,19,3,2,0,8
Bolton,Leicester,2,4,2,11,2,4,1,14
Fulham,Man United,10,17,0,88,28,27,2,101
Liverpool,Bolton,31,25,0,83,1,4,0,33
Tottenham,Blackburn,23,17,1,86,8,12,2,59
Derby,Fulham,1,2,0,13,4,3,0,8
Blackburn,Charlton,15,14,0,46,3,4,2,34
Bolton,Chelsea,2,4,2,79,29,26,1,98
Fulham,Middlesbrough,15,12,0,50,6,8,0,38
Man United,Blackburn,25,27,0,117,7,11,1,49
Middlesbrough,Bolton,11,14,0,44,8,10,2,41
Sunderland,Fulham,11,7,1,62,14,12,0,40
Bolton,Man United,6,8,0,65,24,27,0,88
Blackburn,Arsenal,13,13,1,50,19,19,2,72
Ipswich,Fulham,3,1,0,8,0,0,0,3
Fulham,Aston Villa,21,17,1,99,15,16,0,61
Newcastle,Bolton,21,14,1,60,6,7,0,51
West Ham,Blackburn,20,16,0,56,2,6,1,35
Bolton,West Ham,24,19,0,73,0,3,1,44
Fulham,Blackburn,15,18,1,69,15,19,1,69
Middlesbrough,Fulham,17,12,0,55,2,6,0,33
Arsenal,Fulham,32,30,0,132,5,11,0,47
Southampton,Bolton,2,2,1,15,8,4,0,17
Bolton,Blackburn,11,10,1,73,17,13,2,58
Fulham,Liverpool,16,19,3,81,25,26,4,102
Blackburn,Aston Villa,15,13,2,74,15,14,0,79
Sunderland,Bolton,14,12,0,50,8,9,1,41
Chelsea,Fulham,35,27,2,125,5,12,0,57
Blackburn,Ipswich,3,2,0,7,0,1,0,3
Bolton,Derby,3,2,1,7,3,3,0,5
Everton,Fulham,42,35,1,111,3,9,0,75
Leeds,Blackburn,6,7,0,22,3,5,0,22
Charlton,Bolton,4,6,1,35,13,8,1,33
Fulham,Tottenham,18,17,1,99,21,21,1,59
Bolton,Aston Villa,14,16,0,78,14,16,0,57
Leicester,Blackburn,6,4,0,9,0,1,0,6
Southampton,Fulham,13,15,0,44,4,9,0,29
Blackburn,Southampton,10,7,0,30,1,1,0,16
Everton,Bolton,20,17,2,86,11,12,2,47
Fulham,West Ham,11,11,3,65,20,14,3,49
Bolton,Ipswich,3,4,0,5,0,1,0,4
Newcastle,Fulham,22,16,2,119,13,12,2,65
Blackburn,Chelsea,5,7,0,54,26,16,0,79
Bolton,Tottenham,24,21,0,83,6,13,1,66
Leeds,Fulham,9,9,0,29,3,6,0,19
Middlesbrough,Blackburn,4,3,2,38,16,9,0,35
Blackburn,Newcastle,13,17,1,73,13,16,3,57
Fulham,Bolton,29,24,0,81,2,7,0,44
Fulham,Leicester,5,3,0,18,5,3,0,16
Everton,Blackburn,17,14,1,73,14,10,1,68
Bolton,Arsenal,15,14,1,86,15,15,1,72
Liverpool,Blackburn,25,23,0,90,4,9,1,39
Blackburn,Fulham,23,18,2,69,8,10,1,52
West Ham,Bolton,8,11,0,58,14,14,1,43
Man United,West Brom,24,19,0,114,12,7,3,38
Southampton,Middlesboro,1,0,0,5,1,0,0,5
Arsenal,Birmingham,17,12,1,59,2,3,2,15
Birmingham,Blackburn,15,12,1,46,6,10,0,38
Middlesboro,Fulham,1,2,0,3,1,2,0,4
West Brom,Leeds,0,1,0,3,6,8,0,10
Arsenal,West Brom,34,30,0,110,4,9,0,36
Everton,Birmingham,11,8,1,52,5,5,0,20
Birmingham,Leeds,6,6,0,12,0,2,0,13
Middlesboro,Blackburn,3,1,0,3,0,0,0,7
West Brom,Fulham,14,9,1,52,8,7,3,37
Man United,Middlesboro,3,1,0,1,0,0,0,3
Middlesboro,Sunderland,3,3,0,7,0,0,0,6
Liverpool,Birmingham,10,13,0,66,7,7,1,20
West Ham,West Brom,18,17,0,56,9,13,1,53
Everton,Middlesboro,3,2,0,8,0,1,0,5
West Brom,Southampton,14,9,0,37,11,5,1,37
Man City,Blackburn,15,17,2,76,9,12,0,43
Birmingham,Aston Villa,8,7,0,36,11,5,0,21
Liverpool,West Brom,27,21,0,115,9,9,2,35
Middlesboro,Birmingham,3,1,0,4,0,0,0,3
Birmingham,Newcastle,4,4,0,30,10,8,0,25
