Date,HomeTeam,AwayTeam,Home team Points,Home team Goal scored,Home team Goal conceded,Home team Shot on target,Home team Red Cards,Away team Points,Away team Goal scored,Away team Goal conceded,Away team Shot on target,Away team Red Cards,Home team Points H2H,Home team Goal scored H2H,Home Team Red Cards H2H,Home Team Shot on Target H2H,Away team Points H2H,Away team Goal scored H2H,Away Team Red Cards H2H,Away Team Shot on Target H2H
26/12/2022,Crystal Palace,Fulham,483,482,589,1620,17,623,613,790,2895,41,4,3,0,14,4,4,1,15
26/12/2022,Everton,Wolves,1226,1147,1146,4676,84,392,358,513,1572,20,14,10,3,51,11,8,2,32
26/12/2022,Leicester,Newcastle,616,664,667,2045,35,1026,988,1180,4168,73,21,26,0,51,9,8,3,34
26/12/2022,Southampton,Brighton,733,733,890,2983,42,282,250,292,871,18,5,7,0,24,8,8,0,24
26/12/2022,Aston Villa,Liverpool,965,963,1100,3945,52,1697,1625,826,6122,46,10,16,0,98,49,35,0,137
26/12/2022,Arsenal,West Ham,1683,1625,927,5933,78,961,980,1115,3762,59,49,44,1,185,10,12,4,59
27/12/2022,Chelsea,Bournemouth,1750,1634,779,5952,63,181,196,261,610,9,6,5,0,26,9,5,0,16
27/12/2022,Man United,Nottingham,1746,1611,861,6038,53,,,,,,,,,,,,,
28/12/2022,Leeds,Man City,387,403,507,1515,25,1542,1591,878,5516,63,7,7,0,25,13,16,1,47
30/12/2022,West Ham,Brentford,961,980,1115,3762,59,138,144,168,462,9,0,3,0,15,9,6,0,18
30/12/2022,Liverpool,Leicester,1697,1625,826,6122,46,616,664,667,2045,35,34,24,0,104,1,6,0,24
31/12/2022,Wolves,Man United,392,358,513,1572,20,1746,1611,861,6038,53,7,5,1,44,19,13,0,52
31/12/2022,Bournemouth,Crystal Palace,181,196,261,610,9,483,482,589,1620,17,5,4,0,16,5,5,0,12
31/12/2022,Fulham,Southampton,623,613,790,2895,41,733,733,890,2983,42,15,11,0,33,6,9,0,35
31/12/2022,Man City,Everton,1542,1591,878,5516,63,1226,1147,1146,4676,84,43,43,4,159,19,16,3,76
31/12/2022,Newcastle,Leeds,1026,988,1180,4168,73,387,403,507,1515,25,12,10,0,55,9,9,1,51
31/12/2022,Brighton,Arsenal,282,250,292,871,18,1683,1625,927,5933,78,6,2,0,14,6,2,0,16
1/1/2023,Tottenham,Aston Villa,1458,1406,1055,5576,58,965,963,1100,3945,52,44,37,0,166,14,18,2,89
1/1/2023,Nottingham,Chelsea,,,,,,1750,1634,779,5952,63,,,,,,,,
