Date,HomeTeam,AwayTeam,Home team Points,Home team Goal scored,Home team Goal conceded,Home team Shot on target,Home team Red Cards,Away team Points,Away team Goal scored,Away team Goal conceded,Away team Shot on target,Away team Red Cards
8/10/2022,Chelsea,Wolves,1750.0,1634.0,779.0,5952.0,63.0,392.0,358.0,513.0,1572.0,20.0
8/10/2022,Man City,Southampton,1542.0,1591.0,878.0,5516.0,63.0,733.0,733.0,890.0,2983.0,42.0
8/10/2022,Newcastle,Brentford,1026.0,988.0,1180.0,4168.0,73.0,138.0,144.0,168.0,462.0,9.0
8/10/2022,Brighton,Tottenham,282.0,250.0,292.0,871.0,18.0,1458.0,1406.0,1055.0,5576.0,58.0
9/10/2022,Crystal Palace,Leeds,483.0,482.0,589.0,1620.0,17.0,387.0,403.0,507.0,1515.0,25.0
9/10/2022,West Ham,Fulham,961.0,980.0,1115.0,3762.0,59.0,623.0,613.0,790.0,2895.0,41.0
9/10/2022,Arsenal,Liverpool,1683.0,1625.0,927.0,5933.0,78.0,1697.0,1625.0,826.0,6122.0,46.0
9/10/2022,Everton,Man United,1226.0,1147.0,1146.0,4676.0,84.0,1746.0,1611.0,861.0,6038.0,53.0
10/10/2022,Nottingham,Aston Villa,,,,,,965.0,963.0,1100.0,3945.0,52.0
14/10/2022,Brentford,Brighton,138.0,144.0,168.0,462.0,9.0,282.0,250.0,292.0,871.0,18.0
15/10/2022,Leicester,Crystal Palace,616.0,664.0,667.0,2045.0,35.0,483.0,482.0,589.0,1620.0,17.0
15/10/2022,Fulham,Bournemouth,623.0,613.0,790.0,2895.0,41.0,181.0,196.0,261.0,610.0,9.0
15/10/2022,Wolves,Nottingham,392.0,358.0,513.0,1572.0,20.0,,,,,
15/10/2022,Tottenham,Everton,1458.0,1406.0,1055.0,5576.0,58.0,1226.0,1147.0,1146.0,4676.0,84.0
16/10/2022,Aston Villa,Chelsea,965.0,963.0,1100.0,3945.0,52.0,1750.0,1634.0,779.0,5952.0,63.0
16/10/2022,Leeds,Arsenal,387.0,403.0,507.0,1515.0,25.0,1683.0,1625.0,927.0,5933.0,78.0
16/10/2022,Man United,Newcastle,1746.0,1611.0,861.0,6038.0,53.0,1026.0,988.0,1180.0,4168.0,73.0
16/10/2022,Southampton,West Ham,733.0,733.0,890.0,2983.0,42.0,961.0,980.0,1115.0,3762.0,59.0
16/10/2022,Liverpool,Man City,1697.0,1625.0,826.0,6122.0,46.0,1542.0,1591.0,878.0,5516.0,63.0
18/10/2022,Brighton,Nottingham,282.0,250.0,292.0,871.0,18.0,,,,,
18/10/2022,Crystal Palace,Wolves,483.0,482.0,589.0,1620.0,17.0,392.0,358.0,513.0,1572.0,20.0
19/10/2022,Bournemouth,Southampton,181.0,196.0,261.0,610.0,9.0,733.0,733.0,890.0,2983.0,42.0
19/10/2022,Brentford,Chelsea,138.0,144.0,168.0,462.0,9.0,1750.0,1634.0,779.0,5952.0,63.0
19/10/2022,Liverpool,West Ham,1697.0,1625.0,826.0,6122.0,46.0,961.0,980.0,1115.0,3762.0,59.0
19/10/2022,Newcastle,Everton,1026.0,988.0,1180.0,4168.0,73.0,1226.0,1147.0,1146.0,4676.0,84.0
19/10/2022,Man United,Tottenham,1746.0,1611.0,861.0,6038.0,53.0,1458.0,1406.0,1055.0,5576.0,58.0
20/10/2022,Fulham,Aston Villa,623.0,613.0,790.0,2895.0,41.0,965.0,963.0,1100.0,3945.0,52.0
20/10/2022,Leicester,Leeds,616.0,664.0,667.0,2045.0,35.0,387.0,403.0,507.0,1515.0,25.0
22/10/2022,Nottingham,Liverpool,,,,,,1697.0,1625.0,826.0,6122.0,46.0
22/10/2022,Everton,Crystal Palace,1226.0,1147.0,1146.0,4676.0,84.0,483.0,482.0,589.0,1620.0,17.0
22/10/2022,Man City,Brighton,1542.0,1591.0,878.0,5516.0,63.0,282.0,250.0,292.0,871.0,18.0
22/10/2022,Chelsea,Man United,1750.0,1634.0,779.0,5952.0,63.0,1746.0,1611.0,861.0,6038.0,53.0
23/10/2022,Aston Villa,Brentford,965.0,963.0,1100.0,3945.0,52.0,138.0,144.0,168.0,462.0,9.0
23/10/2022,Leeds,Fulham,387.0,403.0,507.0,1515.0,25.0,623.0,613.0,790.0,2895.0,41.0
23/10/2022,Southampton,Arsenal,733.0,733.0,890.0,2983.0,42.0,1683.0,1625.0,927.0,5933.0,78.0
23/10/2022,Wolves,Leicester,392.0,358.0,513.0,1572.0,20.0,616.0,664.0,667.0,2045.0,35.0
23/10/2022,Tottenham,Newcastle,1458.0,1406.0,1055.0,5576.0,58.0,1026.0,988.0,1180.0,4168.0,73.0
24/10/2022,West Ham,Bournemouth,961.0,980.0,1115.0,3762.0,59.0,181.0,196.0,261.0,610.0,9.0
29/10/2022,Leicester,Man City,616.0,664.0,667.0,2045.0,35.0,1542.0,1591.0,878.0,5516.0,63.0
29/10/2022,Bournemouth,Tottenham,181.0,196.0,261.0,610.0,9.0,1458.0,1406.0,1055.0,5576.0,58.0
29/10/2022,Brentford,Wolves,138.0,144.0,168.0,462.0,9.0,392.0,358.0,513.0,1572.0,20.0
29/10/2022,Brighton,Chelsea,282.0,250.0,292.0,871.0,18.0,1750.0,1634.0,779.0,5952.0,63.0
29/10/2022,Crystal Palace,Southampton,483.0,482.0,589.0,1620.0,17.0,733.0,733.0,890.0,2983.0,42.0
29/10/2022,Newcastle,Aston Villa,1026.0,988.0,1180.0,4168.0,73.0,965.0,963.0,1100.0,3945.0,52.0
29/10/2022,Fulham,Everton,623.0,613.0,790.0,2895.0,41.0,1226.0,1147.0,1146.0,4676.0,84.0
29/10/2022,Liverpool,Leeds,1697.0,1625.0,826.0,6122.0,46.0,387.0,403.0,507.0,1515.0,25.0
30/10/2022,Arsenal,Nottingham,1683.0,1625.0,927.0,5933.0,78.0,,,,,
30/10/2022,Man United,West Ham,1746.0,1611.0,861.0,6038.0,53.0,961.0,980.0,1115.0,3762.0,59.0
5/11/2022,Leeds,Bournemouth,387.0,403.0,507.0,1515.0,25.0,181.0,196.0,261.0,610.0,9.0
5/11/2022,Man City,Fulham,1542.0,1591.0,878.0,5516.0,63.0,623.0,613.0,790.0,2895.0,41.0
5/11/2022,Nottingham,Brentford,,,,,,138.0,144.0,168.0,462.0,9.0
5/11/2022,Wolves,Brighton,392.0,358.0,513.0,1572.0,20.0,282.0,250.0,292.0,871.0,18.0
5/11/2022,Everton,Leicester,1226.0,1147.0,1146.0,4676.0,84.0,616.0,664.0,667.0,2045.0,35.0
6/11/2022,Chelsea,Arsenal,1750.0,1634.0,779.0,5952.0,63.0,1683.0,1625.0,927.0,5933.0,78.0
6/11/2022,Aston Villa,Man United,965.0,963.0,1100.0,3945.0,52.0,1746.0,1611.0,861.0,6038.0,53.0
6/11/2022,Southampton,Newcastle,733.0,733.0,890.0,2983.0,42.0,1026.0,988.0,1180.0,4168.0,73.0
6/11/2022,West Ham,Crystal Palace,961.0,980.0,1115.0,3762.0,59.0,483.0,482.0,589.0,1620.0,17.0
6/11/2022,Tottenham,Liverpool,1458.0,1406.0,1055.0,5576.0,58.0,1697.0,1625.0,826.0,6122.0,46.0
12/11/2022,Man City,Brentford,1542.0,1591.0,878.0,5516.0,63.0,138.0,144.0,168.0,462.0,9.0
12/11/2022,Bournemouth,Everton,181.0,196.0,261.0,610.0,9.0,1226.0,1147.0,1146.0,4676.0,84.0
12/11/2022,Liverpool,Southampton,1697.0,1625.0,826.0,6122.0,46.0,733.0,733.0,890.0,2983.0,42.0
12/11/2022,Nottingham,Crystal Palace,,,,,,483.0,482.0,589.0,1620.0,17.0
12/11/2022,Tottenham,Leeds,1458.0,1406.0,1055.0,5576.0,58.0,387.0,403.0,507.0,1515.0,25.0
12/11/2022,West Ham,Leicester,961.0,980.0,1115.0,3762.0,59.0,616.0,664.0,667.0,2045.0,35.0
12/11/2022,Newcastle,Chelsea,1026.0,988.0,1180.0,4168.0,73.0,1750.0,1634.0,779.0,5952.0,63.0
12/11/2022,Wolves,Arsenal,392.0,358.0,513.0,1572.0,20.0,1683.0,1625.0,927.0,5933.0,78.0
13/11/2022,Brighton,Aston Villa,282.0,250.0,292.0,871.0,18.0,965.0,963.0,1100.0,3945.0,52.0
13/11/2022,Fulham,Man United,623.0,613.0,790.0,2895.0,41.0,1746.0,1611.0,861.0,6038.0,53.0
26/12/2022,Brentford,Tottenham,138.0,144.0,168.0,462.0,9.0,1458.0,1406.0,1055.0,5576.0,58.0
26/12/2022,Crystal Palace,Fulham,483.0,482.0,589.0,1620.0,17.0,623.0,613.0,790.0,2895.0,41.0
26/12/2022,Everton,Wolves,1226.0,1147.0,1146.0,4676.0,84.0,392.0,358.0,513.0,1572.0,20.0
26/12/2022,Leicester,Newcastle,616.0,664.0,667.0,2045.0,35.0,1026.0,988.0,1180.0,4168.0,73.0
26/12/2022,Southampton,Brighton,733.0,733.0,890.0,2983.0,42.0,282.0,250.0,292.0,871.0,18.0
26/12/2022,Aston Villa,Liverpool,965.0,963.0,1100.0,3945.0,52.0,1697.0,1625.0,826.0,6122.0,46.0
26/12/2022,Arsenal,West Ham,1683.0,1625.0,927.0,5933.0,78.0,961.0,980.0,1115.0,3762.0,59.0
27/12/2022,Chelsea,Bournemouth,1750.0,1634.0,779.0,5952.0,63.0,181.0,196.0,261.0,610.0,9.0
27/12/2022,Man United,Nottingham,1746.0,1611.0,861.0,6038.0,53.0,,,,,
28/12/2022,Leeds,Man City,387.0,403.0,507.0,1515.0,25.0,1542.0,1591.0,878.0,5516.0,63.0
30/12/2022,West Ham,Brentford,961.0,980.0,1115.0,3762.0,59.0,138.0,144.0,168.0,462.0,9.0
30/12/2022,Liverpool,Leicester,1697.0,1625.0,826.0,6122.0,46.0,616.0,664.0,667.0,2045.0,35.0
31/12/2022,Wolves,Man United,392.0,358.0,513.0,1572.0,20.0,1746.0,1611.0,861.0,6038.0,53.0
31/12/2022,Bournemouth,Crystal Palace,181.0,196.0,261.0,610.0,9.0,483.0,482.0,589.0,1620.0,17.0
31/12/2022,Fulham,Southampton,623.0,613.0,790.0,2895.0,41.0,733.0,733.0,890.0,2983.0,42.0
31/12/2022,Man City,Everton,1542.0,1591.0,878.0,5516.0,63.0,1226.0,1147.0,1146.0,4676.0,84.0
31/12/2022,Newcastle,Leeds,1026.0,988.0,1180.0,4168.0,73.0,387.0,403.0,507.0,1515.0,25.0
31/12/2022,Brighton,Arsenal,282.0,250.0,292.0,871.0,18.0,1683.0,1625.0,927.0,5933.0,78.0
1/1/2023,Tottenham,Aston Villa,1458.0,1406.0,1055.0,5576.0,58.0,965.0,963.0,1100.0,3945.0,52.0
1/1/2023,Nottingham,Chelsea,,,,,,1750.0,1634.0,779.0,5952.0,63.0
2/1/2023,Brentford,Liverpool,138.0,144.0,168.0,462.0,9.0,1697.0,1625.0,826.0,6122.0,46.0
3/1/2023,Arsenal,Newcastle,1683.0,1625.0,927.0,5933.0,78.0,1026.0,988.0,1180.0,4168.0,73.0
3/1/2023,Everton,Brighton,1226.0,1147.0,1146.0,4676.0,84.0,282.0,250.0,292.0,871.0,18.0
3/1/2023,Leicester,Fulham,616.0,664.0,667.0,2045.0,35.0,623.0,613.0,790.0,2895.0,41.0
3/1/2023,Man United,Bournemouth,1746.0,1611.0,861.0,6038.0,53.0,181.0,196.0,261.0,610.0,9.0
4/1/2023,Southampton,Nottingham,733.0,733.0,890.0,2983.0,42.0,,,,,
4/1/2023,Leeds,West Ham,387.0,403.0,507.0,1515.0,25.0,961.0,980.0,1115.0,3762.0,59.0
4/1/2023,Aston Villa,Wolves,965.0,963.0,1100.0,3945.0,52.0,392.0,358.0,513.0,1572.0,20.0
4/1/2023,Crystal Palace,Tottenham,483.0,482.0,589.0,1620.0,17.0,1458.0,1406.0,1055.0,5576.0,58.0
